Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
COG_ZSTD_L09_P2,9,2,48.64,77.94,4.584,1.917,S2-16D_V2_002011_20260728,B09
COG_ZSTD_L11_P2,11,2,47.8,78.32,5.611,1.26,S2-16D_V2_002011_20260728,B09
COG_ZSTD_L13_P2,13,2,47.47,78.47,18.836,1.464,S2-16D_V2_002011_20260728,B09
COG_ZSTD_L15_P2,15,2,47.36,78.52,32.912,1.434,S2-16D_V2_002011_20260728,B09
RAW_SemComp,0,0,220.51,0.0,0.0,0.442,S2-16D_V2_002012_20260728,B08
COG_ZSTD_L01_P2,1,2,186.02,15.64,2.082,0.726,S2-16D_V2_002012_20260728,B08
COG_ZSTD_L03_P2,3,2,186.04,15.63,1.886,0.688,S2-16D_V2_002012_20260728,B08
COG_ZSTD_L05_P2,5,2,185.71,15.78,2.125,0.722,S2-16D_V2_002012_20260728,B08
COG_ZSTD_L07_P2,7,2,185.69,15.79,2.271,0.741,S2-16D_V2_002012_20260728,B08
COG_ZSTD_L09_P2,9,2,185.68,15.79,2.587,0.734,S2-16D_V2_002012_20260728,B08
COG_ZSTD_L11_P2,11,2,185.68,15.8,4.449,0.786,S2-16D_V2_002012_20260728,B08
COG_ZSTD_L13_P2,13,2,184.75,16.22,14.798,0.848,S2-16D_V2_002012_20260728,B08
COG_ZSTD_L15_P2,15,2,184.75,16.22,22.647,0.915,S2-16D_V2_002012_20260728,B08
RAW_SemComp,0,0,220.51,0.0,0.0,0.531,S2-16D_V2_002011_20260728,B06
COG_ZSTD_L01_P2,1,2,70.32,68.11,4.378,4.237,S2-16D_V2_002011_20260728,B06
COG_ZSTD_L03_P2,3,2,68.41,68.98,2.556,1.011,S2-16D_V2_002011_20260728,B06
COG_ZSTD_L05_P2,5,2,66.63,69.78,2.741,0.866,S2-16D_V2_002011_20260728,B06
COG_ZSTD_L07_P2,7,2,66.6,69.8,3.308,0.69,S2-16D_V2_002011_20260728,B06
COG_ZSTD_L09_P2,9,2,66.59,69.8,2.525,0.771,S2-16D_V2_002011_20260728,B06
COG_ZSTD_L11_P2,11,2,66.59,69.8,5.619,1.596,S2-16D_V2_002011_20260728,B06
COG_ZSTD_L13_P2,13,2,66.48,69.85,20.339,1.376,S2-16D_V2_002011_20260728,B06
COG_ZSTD_L15_P2,15,2,66.48,69.85,34.685,5.305,S2-16D_V2_002011_20260728,B06
RAW_SemComp,0,0,220.51,0.0,0.0,0.353,S2-16D_V2_002012_20260728,B05
COG_ZSTD_L01_P2,1,2,159.18,27.81,2.889,0.763,S2-16D_V2_002012_20260728,B05
COG_ZSTD_L03_P2,3,2,144.85,34.31,3.118,0.863,S2-16D_V2_002012_20260728,B05
COG_ZSTD_L05_P2,5,2,141.46,35.85,4.114,0.983,S2-16D_V2_002012_20260728,B05
COG_ZSTD_L07_P2,7,2,141.18,35.98,4.741,0.882,S2-16D_V2_002012_20260728,B05
COG_ZSTD_L09_P2,9,2,141.16,35.98,5.819,0.914,S2-16D_V2_002012_20260728,B05
COG_ZSTD_L11_P2,11,2,141.06,36.03,9.683,1.187,S2-16D_V2_002012_20260728,B05
COG_ZSTD_L13_P2,13,2,141.06,36.03,27.299,2.071,S2-16D_V2_002012_20260728,B05
COG_ZSTD_L15_P2,15,2,141.06,36.03,40.31,1.839,S2-16D_V2_002012_20260728,B05
RAW_SemComp,0,0,220.51,0.0,0.0,0.426,S2-16D_V2_002012_20260728,NBR
COG_ZSTD_L01_P2,1,2,174.05,21.07,2.091,0.671,S2-16D_V2_002012_20260728,NBR
COG_ZSTD_L03_P2,3,2,168.1,23.77,2.269,0.859,S2-16D_V2_002012_20260728,NBR
COG_ZSTD_L05_P2,5,2,162.94,26.11,3.435,0.9,S2-16D_V2_002012_20260728,NBR
COG_ZSTD_L07_P2,7,2,162.88,26.14,4.101,0.834,S2-16D_V2_002012_20260728,NBR
COG_ZSTD_L09_P2,9,2,162.87,26.14,4.872,0.834,S2-16D_V2_002012_20260728,NBR
COG_ZSTD_L11_P2,11,2,162.86,26.14,8.679,0.946,S2-16D_V2_002012_20260728,NBR
COG_ZSTD_L13_P2,13,2,162.62,26.25,16.682,0.873,S2-16D_V2_002012_20260728,NBR
COG_ZSTD_L15_P2,15,2,162.62,26.25,24.811,0.937,S2-16D_V2_002012_20260728,NBR
RAW_SemComp,0,0,220.51,0.0,0.0,0.888,S2-16D_V2_001014_20260728,B11
COG_ZSTD_L01_P2,1,2,44.05,80.02,2.752,0.784,S2-16D_V2_001014_20260728,B11
COG_ZSTD_L03_P2,3,2,40.9,81.45,6.097,2.095,S2-16D_V2_001014_20260728,B11
COG_ZSTD_L05_P2,5,2,39.82,81.94,1.72,3.257,S2-16D_V2_001014_20260728,B11
COG_ZSTD_L07_P2,7,2,39.77,81.96,6.797,0.918,S2-16D_V2_001014_20260728,B11
COG_ZSTD_L09_P2,9,2,39.76,81.97,5.375,3.333,S2-16D_V2_001014_20260728,B11
COG_ZSTD_L11_P2,11,2,39.75,81.97,6.368,1.637,S2-16D_V2_001014_20260728,B11
COG_ZSTD_L13_P2,13,2,39.72,81.99,21.317,0.693,S2-16D_V2_001014_20260728,B11
COG_ZSTD_L15_P2,15,2,39.72,81.99,19.54,0.757,S2-16D_V2_001014_20260728,B11
RAW_SemComp,0,0,220.51,0.0,0.0,1.124,S2-16D_V2_001014_20260728,B09
COG_ZSTD_L01_P2,1,2,33.6,84.76,2.868,2.256,S2-16D_V2_001014_20260728,B09
COG_ZSTD_L03_P2,3,2,30.51,86.17,5.416,1.39,S2-16D_V2_001014_20260728,B09
COG_ZSTD_L05_P2,5,2,29.88,86.45,6.902,1.862,S2-16D_V2_001014_20260728,B09
COG_ZSTD_L07_P2,7,2,29.28,86.72,5.857,2.187,S2-16D_V2_001014_20260728,B09
COG_ZSTD_L09_P2,9,2,29.02,86.84,5.32,3.194,S2-16D_V2_001014_20260728,B09
COG_ZSTD_L11_P2,11,2,28.33,87.15,12.064,0.575,S2-16D_V2_001014_20260728,B09
COG_ZSTD_L13_P2,13,2,28.05,87.28,10.492,0.691,S2-16D_V2_001014_20260728,B09
COG_ZSTD_L15_P2,15,2,27.93,87.33,27.485,1.402,S2-16D_V2_001014_20260728,B09
RAW_SemComp,0,0,220.51,0.0,0.0,0.734,S2-16D_V2_002012_20260728,B01
COG_ZSTD_L01_P2,1,2,68.96,68.73,5.482,0.807,S2-16D_V2_002012_20260728,B01
COG_ZSTD_L03_P2,3,2,65.95,70.09,4.592,1.484,S2-16D_V2_002012_20260728,B01
COG_ZSTD_L05_P2,5,2,62.56,71.63,3.539,1.98,S2-16D_V2_002012_20260728,B01
COG_ZSTD_L07_P2,7,2,60.59,72.53,5.809,0.822,S2-16D_V2_002012_20260728,B01
COG_ZSTD_L09_P2,9,2,60.34,72.63,5.889,0.859,S2-16D_V2_002012_20260728,B01
COG_ZSTD_L11_P2,11,2,58.49,73.47,11.733,1.06,S2-16D_V2_002012_20260728,B01
COG_ZSTD_L13_P2,13,2,58.03,73.68,26.242,3.373,S2-16D_V2_002012_20260728,B01
COG_ZSTD_L15_P2,15,2,55.95,74.63,59.517,4.706,S2-16D_V2_002012_20260728,B01
RAW_SemComp,0,0,220.51,0.0,0.0,0.559,S2-16D_V2_002012_20260728,B04
COG_ZSTD_L01_P2,1,2,150.4,31.8,4.853,4.459,S2-16D_V2_002012_20260728,B04
COG_ZSTD_L03_P2,3,2,138.07,37.39,3.167,0.845,S2-16D_V2_002012_20260728,B04
COG_ZSTD_L05_P2,5,2,135.46,38.57,3.96,0.89,S2-16D_V2_002012_20260728,B04
COG_ZSTD_L07_P2,7,2,135.15,38.71,4.914,0.866,S2-16D_V2_002012_20260728,B04
COG_ZSTD_L09_P2,9,2,135.14,38.72,5.941,0.85,S2-16D_V2_002012_20260728,B04
COG_ZSTD_L11_P2,11,2,134.95,38.8,9.658,0.896,S2-16D_V2_002012_20260728,B04
COG_ZSTD_L13_P2,13,2,134.97,38.79,20.764,1.846,S2-16D_V2_002012_20260728,B04
