Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
COG_LZW_P1_B512,1,512,98.86,55.17,4.633,2.746,S2-16D_V2_002011_20260728,B06
COG_LZW_P2_B128,2,128,83.34,62.2,5.555,3.925,S2-16D_V2_002011_20260728,B06
COG_LZW_P2_B256,2,256,82.23,62.71,3.958,3.414,S2-16D_V2_002011_20260728,B06
COG_LZW_P2_B512,2,512,81.82,62.9,6.694,4.817,S2-16D_V2_002011_20260728,B06
RAW_SemComp,0,256,220.51,0.0,0.0,2.427,S2-16D_V2_002012_20260728,B05
COG_LZW_P1_B128,1,128,192.87,12.54,9.198,2.679,S2-16D_V2_002012_20260728,B05
COG_LZW_P1_B256,1,256,193.78,12.13,11.21,5.396,S2-16D_V2_002012_20260728,B05
COG_LZW_P1_B512,1,512,195.28,11.44,11.001,7.512,S2-16D_V2_002012_20260728,B05
COG_LZW_P2_B128,2,128,176.41,20.0,3.621,1.987,S2-16D_V2_002012_20260728,B05
COG_LZW_P2_B256,2,256,175.32,20.49,5.508,2.499,S2-16D_V2_002012_20260728,B05
COG_LZW_P2_B512,2,512,175.05,20.62,6.801,3.489,S2-16D_V2_002012_20260728,B05
RAW_SemComp,0,256,220.51,0.0,0.0,1.508,S2-16D_V2_002012_20260728,NBR
COG_LZW_P1_B128,1,128,219.63,0.4,11.232,5.41,S2-16D_V2_002012_20260728,NBR
COG_LZW_P1_B256,1,256,219.89,0.28,8.885,1.339,S2-16D_V2_002012_20260728,NBR
COG_LZW_P1_B512,1,512,220.85,-0.15,3.081,1.366,S2-16D_V2_002012_20260728,NBR
COG_LZW_P2_B128,2,128,200.73,8.97,6.095,2.403,S2-16D_V2_002012_20260728,NBR
COG_LZW_P2_B256,2,256,199.63,9.47,4.435,3.804,S2-16D_V2_002012_20260728,NBR
COG_LZW_P2_B512,2,512,199.28,9.63,5.496,3.0,S2-16D_V2_002012_20260728,NBR
RAW_SemComp,0,256,220.51,0.0,0.0,4.554,S2-16D_V2_001014_20260728,B11
COG_LZW_P1_B128,1,128,54.62,75.23,7.924,0.644,S2-16D_V2_001014_20260728,B11
COG_LZW_P1_B256,1,256,53.81,75.6,1.546,0.502,S2-16D_V2_001014_20260728,B11
COG_LZW_P1_B512,1,512,53.67,75.66,1.503,0.597,S2-16D_V2_001014_20260728,B11
COG_LZW_P2_B128,2,128,51.14,76.81,3.087,0.82,S2-16D_V2_001014_20260728,B11
COG_LZW_P2_B256,2,256,49.98,77.34,3.987,0.989,S2-16D_V2_001014_20260728,B11
COG_LZW_P2_B512,2,512,49.56,77.52,4.02,1.376,S2-16D_V2_001014_20260728,B11
RAW_SemComp,0,256,220.51,0.0,0.0,0.621,S2-16D_V2_001014_20260728,B09
COG_LZW_P1_B128,1,128,54.67,75.21,3.367,1.802,S2-16D_V2_001014_20260728,B09
COG_LZW_P1_B256,1,256,54.06,75.49,3.41,3.386,S2-16D_V2_001014_20260728,B09
COG_LZW_P1_B512,1,512,54.17,75.43,3.819,2.126,S2-16D_V2_001014_20260728,B09
COG_LZW_P2_B128,2,128,39.42,82.12,6.846,4.213,S2-16D_V2_001014_20260728,B09
COG_LZW_P2_B256,2,256,38.16,82.7,6.38,1.427,S2-16D_V2_001014_20260728,B09
COG_LZW_P2_B512,2,512,37.71,82.9,6.611,3.223,S2-16D_V2_001014_20260728,B09
RAW_SemComp,0,256,220.51,0.0,0.0,0.529,S2-16D_V2_002012_20260728,B01
COG_LZW_P1_B128,1,128,109.72,50.24,5.165,1.699,S2-16D_V2_002012_20260728,B01
COG_LZW_P1_B256,1,256,111.08,49.63,6.104,2.074,S2-16D_V2_002012_20260728,B01
COG_LZW_P1_B512,1,512,114.63,48.02,6.836,2.213,S2-16D_V2_002012_20260728,B01
COG_LZW_P2_B128,2,128,70.06,68.23,7.477,2.823,S2-16D_V2_002012_20260728,B01
COG_LZW_P2_B256,2,256,68.59,68.9,6.261,3.614,S2-16D_V2_002012_20260728,B01
COG_LZW_P2_B512,2,512,68.31,69.02,8.907,3.171,S2-16D_V2_002012_20260728,B01
RAW_SemComp,0,256,220.51,0.0,0.0,0.939,S2-16D_V2_002012_20260728,B04
COG_LZW_P1_B128,1,128,171.01,22.45,5.88,2.267,S2-16D_V2_002012_20260728,B04
COG_LZW_P1_B256,1,256,171.55,22.21,8.724,5.239,S2-16D_V2_002012_20260728,B04
COG_LZW_P1_B512,1,512,172.69,21.69,10.569,4.109,S2-16D_V2_002012_20260728,B04
COG_LZW_P2_B128,2,128,166.97,24.28,5.219,2.081,S2-16D_V2_002012_20260728,B04
COG_LZW_P2_B256,2,256,166.33,24.57,5.318,3.164,S2-16D_V2_002012_20260728,B04
COG_LZW_P2_B512,2,512,166.28,24.59,6.324,6.302,S2-16D_V2_002012_20260728,B04
RAW_SemComp,0,256,220.51,0.0,0.0,0.821,S2-16D_V2_001014_20260728,B03
COG_LZW_P1_B128,1,128,49.81,77.41,5.766,2.94,S2-16D_V2_001014_20260728,B03
COG_LZW_P1_B256,1,256,48.96,77.8,3.473,1.778,S2-16D_V2_001014_20260728,B03
COG_LZW_P1_B512,1,512,48.78,77.88,6.128,2.488,S2-16D_V2_001014_20260728,B03
COG_LZW_P2_B128,2,128,50.28,77.2,9.231,0.815,S2-16D_V2_001014_20260728,B03
COG_LZW_P2_B256,2,256,49.17,77.7,6.548,2.721,S2-16D_V2_001014_20260728,B03
COG_LZW_P2_B512,2,512,48.76,77.89,6.069,3.335,S2-16D_V2_001014_20260728,B03
RAW_SemComp,0,256,220.51,0.0,0.0,0.468,S2-16D_V2_002011_20260728,B01
COG_LZW_P1_B128,1,128,68.94,68.74,7.546,0.865,S2-16D_V2_002011_20260728,B01
COG_LZW_P1_B256,1,256,69.27,68.59,6.901,2.013,S2-16D_V2_002011_20260728,B01
COG_LZW_P1_B512,1,512,70.49,68.03,4.789,2.653,S2-16D_V2_002011_20260728,B01
COG_LZW_P2_B128,2,128,44.27,79.92,7.867,4.925,S2-16D_V2_002011_20260728,B01
COG_LZW_P2_B256,2,256,43.04,80.48,6.274,4.186,S2-16D_V2_002011_20260728,B01
COG_LZW_P2_B512,2,512,42.73,80.62,4.896,5.212,S2-16D_V2_002011_20260728,B01
RAW_SemComp,0,256,220.51,0.0,0.0,0.494,S2-16D_V2_002011_20260728,B12
COG_LZW_P1_B128,1,128,85.8,61.09,5.256,0.924,S2-16D_V2_002011_20260728,B12
COG_LZW_P1_B256,1,256,85.85,61.07,5.897,1.116,S2-16D_V2_002011_20260728,B12
COG_LZW_P1_B512,1,512,86.52,60.76,6.369,1.084,S2-16D_V2_002011_20260728,B12
COG_LZW_P2_B128,2,128,72.23,67.25,7.043,1.765,S2-16D_V2_002011_20260728,B12
COG_LZW_P2_B256,2,256,71.22,67.7,8.215,2.21,S2-16D_V2_002011_20260728,B12
COG_LZW_P2_B512,2,512,70.95,67.82,6.82,4.152,S2-16D_V2_002011_20260728,B12
RAW_SemComp,0,256,220.51,0.0,0.0,1.544,S2-16D_V2_002012_20260728,B02
COG_LZW_P1_B128,1,128,165.95,24.74,9.309,1.471,S2-16D_V2_002012_20260728,B02
COG_LZW_P1_B256,1,256,166.63,24.43,4.789,1.827,S2-16D_V2_002012_20260728,B02
COG_LZW_P1_B512,1,512,168.07,23.78,6.765,1.702,S2-16D_V2_002012_20260728,B02
COG_LZW_P2_B128,2,128,162.36,26.37,11.006,1.899,S2-16D_V2_002012_20260728,B02
COG_LZW_P2_B256,2,256,161.6,26.72,5.619,2.28,S2-16D_V2_002012_20260728,B02
COG_LZW_P2_B512,2,512,161.55,26.74,6.698,3.59,S2-16D_V2_002012_20260728,B02
RAW_SemComp,0,256,220.51,0.0,0.0,0.386,S2-16D_V2_001014_20260728,NDVI
COG_LZW_P1_B128,1,128,59.8,72.88,3.019,0.886,S2-16D_V2_001014_20260728,NDVI
COG_LZW_P1_B256,1,256,58.39,73.52,4.395,1.031,S2-16D_V2_001014_20260728,NDVI
COG_LZW_P1_B512,1,512,58.0,73.7,4.793,1.195,S2-16D_V2_001014_20260728,NDVI
COG_LZW_P2_B128,2,128,59.67,72.94,5.284,1.327,S2-16D_V2_001014_20260728,NDVI
COG_LZW_P2_B256,2,256,57.72,73.82,5.899,1.2,S2-16D_V2_001014_20260728,NDVI
COG_LZW_P2_B512,2,512,56.93,74.18,4.77,2.703,S2-16D_V2_001014_20260728,NDVI
RAW_SemComp,0,256,220.51,0.0,0.0,4.205,S2-16D_V2_002011_20260728,B07
COG_LZW_P1_B128,1,128,100.07,54.62,7.989,2.211,S2-16D_V2_002011_20260728,B07
COG_LZW_P1_B256,1,256,100.11,54.6,6.002,3.398,S2-16D_V2_002011_20260728,B07
COG_LZW_P1_B512,1,512,100.76,54.31,2.004,0.705,S2-16D_V2_002011_20260728,B07
COG_LZW_P2_B128,2,128,84.88,61.51,3.597,1.074,S2-16D_V2_002011_20260728,B07
COG_LZW_P2_B256,2,256,83.77,62.01,3.535,1.176,S2-16D_V2_002011_20260728,B07
COG_LZW_P2_B512,2,512,83.37,62.2,4.401,1.523,S2-16D_V2_002011_20260728,B07
RAW_SemComp,0,256,220.51,0.0,0.0,1.991,S2-16D_V2_002011_20260728,NDVI
COG_LZW_P1_B128,1,128,99.39,54.93,7.137,2.429,S2-16D_V2_002011_20260728,NDVI
COG_LZW_P1_B256,1,256,98.84,55.18,6.965,6.47,S2-16D_V2_002011_20260728,NDVI
COG_LZW_P1_B512,1,512,99.03,55.09,8.848,3.843,S2-16D_V2_002011_20260728,NDVI
COG_LZW_P2_B128,2,128,91.07,58.7,5.612,0.984,S2-16D_V2_002011_20260728,NDVI
COG_LZW_P2_B256,2,256,89.29,59.51,2.534,1.634,S2-16D_V2_002011_20260728,NDVI
COG_LZW_P2_B512,2,512,88.61,59.82,2.879,1.389,S2-16D_V2_002011_20260728,NDVI
RAW_SemComp,0,256,220.51,0.0,0.0,0.887,S2-16D_V2_001014_20260728,NBR
COG_LZW_P1_B128,1,128,61.1,72.29,6.488,3.22,S2-16D_V2_001014_20260728,NBR
COG_LZW_P1_B256,1,256,59.72,72.92,6.09,1.075,S2-16D_V2_001014_20260728,NBR
COG_LZW_P1_B512,1,512,59.42,73.05,5.043,2.604,S2-16D_V2_001014_20260728,NBR
COG_LZW_P2_B128,2,128,57.07,74.12,6.487,3.594,S2-16D_V2_001014_20260728,NBR
COG_LZW_P2_B256,2,256,55.2,74.97,5.214,2.385,S2-16D_V2_001014_20260728,NBR
COG_LZW_P2_B512,2,512,54.4,75.33,5.71,2.236,S2-16D_V2_001014_20260728,NBR
RAW_SemComp,0,256,220.51,0.0,0.0,2.275,S2-16D_V2_001014_20260728,B06
COG_LZW_P1_B128,1,128,59.08,73.21,9.888,2.326,S2-16D_V2_001014_20260728,B06
COG_LZW_P1_B256,1,256,58.17,73.62,4.202,1.398,S2-16D_V2_001014_20260728,B06
COG_LZW_P1_B512,1,512,58.01,73.69,4.971,1.536,S2-16D_V2_001014_20260728,B06
COG_LZW_P2_B128,2,128,55.48,74.84,1.875,0.699,S2-16D_V2_001014_20260728,B06
COG_LZW_P2_B256,2,256,54.33,75.36,1.634,0.739,S2-16D_V2_001014_20260728,B06
COG_LZW_P2_B512,2,512,53.9,75.56,2.538,0.9,S2-16D_V2_001014_20260728,B06
RAW_SemComp,0,256,220.51,0.0,0.0,0.494,S2-16D_V2_002012_20260728,B12
COG_LZW_P1_B128,1,128,182.33,17.32,4.15,1.511,S2-16D_V2_002012_20260728,B12
COG_LZW_P1_B256,1,256,183.32,16.87,4.607,1.546,S2-16D_V2_002012_20260728,B12
COG_LZW_P1_B512,1,512,185.0,16.1,5.458,4.113,S2-16D_V2_002012_20260728,B12
COG_LZW_P2_B128,2,128,160.96,27.01,8.272,3.002,S2-16D_V2_002012_20260728,B12
COG_LZW_P2_B256,2,256,159.81,27.53,8.396,5.595,S2-16D_V2_002012_20260728,B12
COG_LZW_P2_B512,2,512,159.62,27.61,9.806,4.288,S2-16D_V2_002012_20260728,B12
RAW_SemComp,0,256,220.51,0.0,0.0,2.016,S2-16D_V2_002011_20260728,B03
COG_LZW_P1_B128,1,128,84.21,61.81,3.299,1.502,S2-16D_V2_002011_20260728,B03
COG_LZW_P1_B256,1,256,83.97,61.92,4.898,2.39,S2-16D_V2_002011_20260728,B03
COG_LZW_P1_B512,1,512,84.35,61.75,6.239,1.483,S2-16D_V2_002011_20260728,B03
COG_LZW_P2_B128,2,128,77.69,64.77,5.291,3.571,S2-16D_V2_002011_20260728,B03
COG_LZW_P2_B256,2,256,76.71,65.21,6.136,3.286,S2-16D_V2_002011_20260728,B03
COG_LZW_P2_B512,2,512,76.4,65.35,7.581,3.804,S2-16D_V2_002011_20260728,B03
RAW_SemComp,0,256,220.51,0.0,0.0,1.065,S2-16D_V2_001014_20260728,B07
COG_LZW_P1_B128,1,128,61.39,72.16,4.564,1.906,S2-16D_V2_001014_20260728,B07
COG_LZW_P1_B256,1,256,60.42,72.6,3.786,1.595,S2-16D_V2_001014_20260728,B07
COG_LZW_P1_B512,1,512,60.27,72.67,4.82,0.717,S2-16D_V2_001014_20260728,B07
COG_LZW_P2_B128,2,128,57.23,74.05,6.463,3.61,S2-16D_V2_001014_20260728,B07
COG_LZW_P2_B256,2,256,56.06,74.58,10.469,1.08,S2-16D_V2_001014_20260728,B07
COG_LZW_P2_B512,2,512,55.65,74.76,2.258,2.506,S2-16D_V2_001014_20260728,B07
RAW_SemComp,0,256,220.51,0.0,0.0,2.071,S2-16D_V2_001014_20260728,B8A
COG_LZW_P1_B128,1,128,61.86,71.95,6.209,0.831,S2-16D_V2_001014_20260728,B8A
COG_LZW_P1_B256,1,256,60.91,72.38,2.458,0.827,S2-16D_V2_001014_20260728,B8A
COG_LZW_P1_B512,1,512,60.76,72.45,3.371,2.133,S2-16D_V2_001014_20260728,B8A
COG_LZW_P2_B128,2,128,57.43,73.96,3.796,2.795,S2-16D_V2_001014_20260728,B8A
COG_LZW_P2_B256,2,256,56.26,74.49,4.379,5.106,S2-16D_V2_001014_20260728,B8A
COG_LZW_P2_B512,2,512,55.85,74.67,3.702,1.782,S2-16D_V2_001014_20260728,B8A
RAW_SemComp,0,256,220.51,0.0,0.0,1.137,S2-16D_V2_002011_20260728,B08
COG_LZW_P1_B128,1,128,103.39,53.12,6.218,1.717,S2-16D_V2_002011_20260728,B08
COG_LZW_P1_B256,1,256,103.3,53.15,8.686,4.102,S2-16D_V2_002011_20260728,B08
COG_LZW_P1_B512,1,512,103.79,52.93,4.314,2.67,S2-16D_V2_002011_20260728,B08
COG_LZW_P2_B128,2,128,92.21,58.18,7.214,2.059,S2-16D_V2_002011_20260728,B08
COG_LZW_P2_B256,2,256,90.86,58.8,5.046,3.37,S2-16D_V2_002011_20260728,B08
COG_LZW_P2_B512,2,512,90.42,58.99,7.725,3.992,S2-16D_V2_002011_20260728,B08
RAW_SemComp,0,256,110.26,0.0,0.0,0.286,S2-16D_V2_002012_20260728,SCL
COG_LZW_P1_B128,1,128,2.62,97.63,1.936,0.233,S2-16D_V2_002012_20260728,SCL
COG_LZW_P1_B256,1,256,1.75,98.41,2.849,0.708,S2-16D_V2_002012_20260728,SCL
COG_LZW_P1_B512,1,512,1.37,98.76,2.685,0.258,S2-16D_V2_002012_20260728,SCL
COG_LZW_P2_B128,2,128,4.04,96.33,2.449,1.576,S2-16D_V2_002012_20260728,SCL
COG_LZW_P2_B256,2,256,2.52,97.71,4.821,0.942,S2-16D_V2_002012_20260728,SCL
COG_LZW_P2_B512,2,512,1.81,98.36,3.86,0.924,S2-16D_V2_002012_20260728,SCL
RAW_SemComp,0,256,220.51,0.0,0.0,1.544,S2-16D_V2_002012_20260728,B03
COG_LZW_P1_B128,1,128,183.98,16.57,10.688,7.601,S2-16D_V2_002012_20260728,B03
COG_LZW_P1_B256,1,256,184.56,16.3,6.207,1.069,S2-16D_V2_002012_20260728,B03
COG_LZW_P1_B512,1,512,185.68,15.8,3.54,1.047,S2-16D_V2_002012_20260728,B03
COG_LZW_P2_B128,2,128,181.01,17.91,3.551,2.156,S2-16D_V2_002012_20260728,B03
COG_LZW_P2_B256,2,256,180.08,18.33,5.822,2.479,S2-16D_V2_002012_20260728,B03
COG_LZW_P2_B512,2,512,179.83,18.45,7.116,3.412,S2-16D_V2_002012_20260728,B03
RAW_SemComp,0,256,220.51,0.0,0.0,1.061,S2-16D_V2_002011_20260728,B11
COG_LZW_P1_B128,1,128,93.39,57.65,6.417,2.806,S2-16D_V2_002011_20260728,B11
COG_LZW_P1_B256,1,256,93.48,57.61,6.898,3.733,S2-16D_V2_002011_20260728,B11
COG_LZW_P1_B512,1,512,94.18,57.29,3.755,2.862,S2-16D_V2_002011_20260728,B11
COG_LZW_P2_B128,2,128,78.62,64.35,8.342,4.112,S2-16D_V2_002011_20260728,B11
COG_LZW_P2_B256,2,256,77.56,64.83,8.792,3.684,S2-16D_V2_002011_20260728,B11
COG_LZW_P2_B512,2,512,77.22,64.98,8.805,1.643,S2-16D_V2_002011_20260728,B11
RAW_SemComp,0,256,220.51,0.0,0.0,2.601,S2-16D_V2_001014_20260728,B04
COG_LZW_P1_B128,1,128,46.3,79.0,7.217,0.48,S2-16D_V2_001014_20260728,B04
COG_LZW_P1_B256,1,256,45.42,79.4,1.298,0.484,S2-16D_V2_001014_20260728,B04
COG_LZW_P1_B512,1,512,45.2,79.5,1.332,0.52,S2-16D_V2_001014_20260728,B04
COG_LZW_P2_B128,2,128,46.72,78.81,3.464,1.298,S2-16D_V2_001014_20260728,B04
COG_LZW_P2_B256,2,256,45.64,79.3,4.609,1.501,S2-16D_V2_001014_20260728,B04
COG_LZW_P2_B512,2,512,45.26,79.47,4.595,1.394,S2-16D_V2_001014_20260728,B04
RAW_SemComp,0,256,220.51,0.0,0.0,0.439,S2-16D_V2_002011_20260728,B02
COG_LZW_P1_B128,1,128,79.42,63.98,2.655,1.503,S2-16D_V2_002011_20260728,B02
COG_LZW_P1_B256,1,256,79.31,64.03,2.794,1.508,S2-16D_V2_002011_20260728,B02
COG_LZW_P1_B512,1,512,79.82,63.8,2.368,1.431,S2-16D_V2_002011_20260728,B02
COG_LZW_P2_B128,2,128,72.95,66.92,4.706,2.003,S2-16D_V2_002011_20260728,B02
COG_LZW_P2_B256,2,256,72.03,67.34,4.185,2.333,S2-16D_V2_002011_20260728,B02
COG_LZW_P2_B512,2,512,71.81,67.44,4.374,2.43,S2-16D_V2_002011_20260728,B02
RAW_SemComp,0,256,220.51,0.0,0.0,0.668,S2-16D_V2_002012_20260728,B11
COG_LZW_P1_B128,1,128,203.36,7.78,4.898,4.003,S2-16D_V2_002012_20260728,B11
COG_LZW_P1_B256,1,256,204.28,7.36,7.617,2.159,S2-16D_V2_002012_20260728,B11
COG_LZW_P1_B512,1,512,205.87,6.64,7.862,2.955,S2-16D_V2_002012_20260728,B11
COG_LZW_P2_B128,2,128,183.14,16.95,9.195,4.441,S2-16D_V2_002012_20260728,B11
COG_LZW_P2_B256,2,256,182.13,17.41,11.271,5.012,S2-16D_V2_002012_20260728,B11
COG_LZW_P2_B512,2,512,181.92,17.5,11.278,2.516,S2-16D_V2_002012_20260728,B11
RAW_SemComp,0,256,220.51,0.0,0.0,1.197,S2-16D_V2_001014_20260728,EVI
COG_LZW_P1_B128,1,128,67.57,69.36,7.496,3.7,S2-16D_V2_001014_20260728,EVI
COG_LZW_P1_B256,1,256,66.33,69.92,6.581,4.647,S2-16D_V2_001014_20260728,EVI
COG_LZW_P1_B512,1,512,66.05,70.05,3.74,1.344,S2-16D_V2_001014_20260728,EVI
COG_LZW_P2_B128,2,128,63.18,71.35,2.868,1.59,S2-16D_V2_001014_20260728,EVI
COG_LZW_P2_B256,2,256,61.14,72.27,3.204,1.74,S2-16D_V2_001014_20260728,EVI
COG_LZW_P2_B512,2,512,60.35,72.63,3.862,4.436,S2-16D_V2_001014_20260728,EVI
RAW_SemComp,0,256,220.51,0.0,0.0,0.522,S2-16D_V2_002012_20260728,B09
COG_LZW_P1_B128,1,128,205.24,6.93,9.264,3.88,S2-16D_V2_002012_20260728,B09
COG_LZW_P1_B256,1,256,207.16,6.06,7.589,3.719,S2-16D_V2_002012_20260728,B09
COG_LZW_P1_B512,1,512,210.0,4.77,7.907,5.067,S2-16D_V2_002012_20260728,B09
COG_LZW_P2_B128,2,128,142.02,35.6,8.637,5.88,S2-16D_V2_002012_20260728,B09
COG_LZW_P2_B256,2,256,140.6,36.24,9.206,11.485,S2-16D_V2_002012_20260728,B09
COG_LZW_P2_B512,2,512,140.4,36.33,9.83,2.663,S2-16D_V2_002012_20260728,B09
RAW_SemComp,0,256,220.51,0.0,0.0,1.964,S2-16D_V2_001014_20260728,B08
COG_LZW_P1_B128,1,128,64.98,70.53,8.204,1.4,S2-16D_V2_001014_20260728,B08
COG_LZW_P1_B256,1,256,64.03,70.96,2.724,0.626,S2-16D_V2_001014_20260728,B08
COG_LZW_P1_B512,1,512,63.83,71.05,3.101,0.662,S2-16D_V2_001014_20260728,B08
COG_LZW_P2_B128,2,128,63.37,71.26,3.435,1.265,S2-16D_V2_001014_20260728,B08
COG_LZW_P2_B256,2,256,62.07,71.85,3.009,3.197,S2-16D_V2_001014_20260728,B08
COG_LZW_P2_B512,2,512,61.65,72.04,2.687,2.093,S2-16D_V2_001014_20260728,B08
RAW_SemComp,0,256,220.51,0.0,0.0,2.793,S2-16D_V2_002012_20260728,NDVI
COG_LZW_P1_B128,1,128,217.26,1.48,10.092,5.005,S2-16D_V2_002012_20260728,NDVI
COG_LZW_P1_B256,1,256,217.48,1.38,15.627,9.69,S2-16D_V2_002012_20260728,NDVI
COG_LZW_P1_B512,1,512,218.27,1.02,16.481,8.697,S2-16D_V2_002012_20260728,NDVI
COG_LZW_P2_B128,2,128,210.09,4.73,8.128,11.787,S2-16D_V2_002012_20260728,NDVI
COG_LZW_P2_B256,2,256,208.94,5.25,3.601,1.396,S2-16D_V2_002012_20260728,NDVI
COG_LZW_P2_B512,2,512,208.58,5.41,3.138,1.4,S2-16D_V2_002012_20260728,NDVI
RAW_SemComp,0,256,110.26,0.0,0.0,0.273,S2-16D_V2_002011_20260728,SCL
