Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
COG_LZW_P1_B128,1,128,2.8,97.46,3.6,0.509,S2-16D_V2_002011_20260728,SCL
COG_LZW_P1_B256,1,256,1.92,98.26,2.841,0.364,S2-16D_V2_002011_20260728,SCL
COG_LZW_P1_B512,1,512,1.48,98.65,4.187,0.421,S2-16D_V2_002011_20260728,SCL
COG_LZW_P2_B128,2,128,3.39,96.93,2.759,0.735,S2-16D_V2_002011_20260728,SCL
COG_LZW_P2_B256,2,256,2.25,97.96,4.399,1.139,S2-16D_V2_002011_20260728,SCL
COG_LZW_P2_B512,2,512,1.68,98.48,2.445,0.693,S2-16D_V2_002011_20260728,SCL
RAW_SemComp,0,256,220.51,0.0,0.0,0.442,S2-16D_V2_002012_20260728,B8A
COG_LZW_P1_B128,1,128,227.09,-2.98,4.408,1.783,S2-16D_V2_002012_20260728,B8A
COG_LZW_P1_B256,1,256,227.67,-3.25,4.459,1.974,S2-16D_V2_002012_20260728,B8A
COG_LZW_P1_B512,1,512,229.12,-3.9,4.575,2.345,S2-16D_V2_002012_20260728,B8A
COG_LZW_P2_B128,2,128,205.17,6.96,6.394,2.168,S2-16D_V2_002012_20260728,B8A
COG_LZW_P2_B256,2,256,204.14,7.43,6.899,3.911,S2-16D_V2_002012_20260728,B8A
COG_LZW_P2_B512,2,512,203.78,7.59,8.049,4.149,S2-16D_V2_002012_20260728,B8A
RAW_SemComp,0,256,220.51,0.0,0.0,1.678,S2-16D_V2_002011_20260728,B05
COG_LZW_P1_B128,1,128,88.08,60.06,8.803,2.993,S2-16D_V2_002011_20260728,B05
COG_LZW_P1_B256,1,256,88.03,60.08,4.21,1.016,S2-16D_V2_002011_20260728,B05
COG_LZW_P1_B512,1,512,88.62,59.81,7.99,3.183,S2-16D_V2_002011_20260728,B05
COG_LZW_P2_B128,2,128,76.06,65.51,9.128,3.605,S2-16D_V2_002011_20260728,B05
COG_LZW_P2_B256,2,256,74.99,65.99,8.97,4.783,S2-16D_V2_002011_20260728,B05
COG_LZW_P2_B512,2,512,74.66,66.14,1.947,0.755,S2-16D_V2_002011_20260728,B05
RAW_SemComp,0,256,220.51,0.0,0.0,1.377,S2-16D_V2_002012_20260728,EVI
COG_LZW_P1_B128,1,128,243.44,-10.4,7.822,7.552,S2-16D_V2_002012_20260728,EVI
COG_LZW_P1_B256,1,256,243.98,-10.64,5.343,1.889,S2-16D_V2_002012_20260728,EVI
COG_LZW_P1_B512,1,512,245.4,-11.28,5.609,3.51,S2-16D_V2_002012_20260728,EVI
COG_LZW_P2_B128,2,128,220.26,0.12,7.872,2.522,S2-16D_V2_002012_20260728,EVI
COG_LZW_P2_B256,2,256,218.56,0.88,7.003,4.66,S2-16D_V2_002012_20260728,EVI
COG_LZW_P2_B512,2,512,218.14,1.08,7.71,5.913,S2-16D_V2_002012_20260728,EVI
RAW_SemComp,0,256,220.51,0.0,0.0,2.995,S2-16D_V2_002012_20260728,B07
COG_LZW_P1_B128,1,128,224.69,-1.9,11.801,7.39,S2-16D_V2_002012_20260728,B07
COG_LZW_P1_B256,1,256,225.23,-2.14,8.611,2.286,S2-16D_V2_002012_20260728,B07
COG_LZW_P1_B512,1,512,226.61,-2.76,8.188,3.827,S2-16D_V2_002012_20260728,B07
COG_LZW_P2_B128,2,128,203.46,7.73,7.228,4.751,S2-16D_V2_002012_20260728,B07
COG_LZW_P2_B256,2,256,202.44,8.2,7.416,6.06,S2-16D_V2_002012_20260728,B07
COG_LZW_P2_B512,2,512,202.08,8.36,7.732,11.214,S2-16D_V2_002012_20260728,B07
RAW_SemComp,0,256,220.51,0.0,0.0,0.476,S2-16D_V2_002011_20260728,NBR
COG_LZW_P1_B128,1,128,99.1,55.06,7.636,1.605,S2-16D_V2_002011_20260728,NBR
COG_LZW_P1_B256,1,256,98.53,55.32,1.842,1.527,S2-16D_V2_002011_20260728,NBR
COG_LZW_P1_B512,1,512,98.74,55.23,3.132,1.223,S2-16D_V2_002011_20260728,NBR
COG_LZW_P2_B128,2,128,86.85,60.61,4.503,2.389,S2-16D_V2_002011_20260728,NBR
COG_LZW_P2_B256,2,256,85.18,61.37,4.507,2.402,S2-16D_V2_002011_20260728,NBR
COG_LZW_P2_B512,2,512,84.53,61.67,4.701,2.659,S2-16D_V2_002011_20260728,NBR
RAW_SemComp,0,256,220.51,0.0,0.0,1.669,S2-16D_V2_001014_20260728,B05
COG_LZW_P1_B128,1,128,51.19,76.79,2.939,1.682,S2-16D_V2_001014_20260728,B05
COG_LZW_P1_B256,1,256,50.37,77.16,2.926,2.511,S2-16D_V2_001014_20260728,B05
COG_LZW_P1_B512,1,512,50.22,77.23,4.393,1.286,S2-16D_V2_001014_20260728,B05
COG_LZW_P2_B128,2,128,48.77,77.88,5.996,2.443,S2-16D_V2_001014_20260728,B05
COG_LZW_P2_B256,2,256,47.58,78.42,7.457,2.153,S2-16D_V2_001014_20260728,B05
COG_LZW_P2_B512,2,512,47.16,78.61,4.157,2.055,S2-16D_V2_001014_20260728,B05
RAW_SemComp,0,256,220.51,0.0,0.0,1.397,S2-16D_V2_002012_20260728,B06
COG_LZW_P1_B128,1,128,218.94,0.71,9.72,3.305,S2-16D_V2_002012_20260728,B06
COG_LZW_P1_B256,1,256,219.52,0.45,11.39,8.799,S2-16D_V2_002012_20260728,B06
COG_LZW_P1_B512,1,512,220.82,-0.14,11.189,4.927,S2-16D_V2_002012_20260728,B06
COG_LZW_P2_B128,2,128,199.33,9.61,14.37,2.7,S2-16D_V2_002012_20260728,B06
COG_LZW_P2_B256,2,256,198.28,10.08,15.808,5.907,S2-16D_V2_002012_20260728,B06
COG_LZW_P2_B512,2,512,197.95,10.23,12.784,17.794,S2-16D_V2_002012_20260728,B06
RAW_SemComp,0,256,220.51,0.0,0.0,1.741,S2-16D_V2_002011_20260728,B8A
COG_LZW_P1_B128,1,128,101.27,54.08,5.9,3.328,S2-16D_V2_002011_20260728,B8A
COG_LZW_P1_B256,1,256,101.36,54.03,5.958,3.402,S2-16D_V2_002011_20260728,B8A
COG_LZW_P1_B512,1,512,102.04,53.72,3.723,0.911,S2-16D_V2_002011_20260728,B8A
COG_LZW_P2_B128,2,128,85.74,61.12,3.457,1.414,S2-16D_V2_002011_20260728,B8A
COG_LZW_P2_B256,2,256,84.63,61.62,2.701,1.441,S2-16D_V2_002011_20260728,B8A
COG_LZW_P2_B512,2,512,84.24,61.8,2.278,1.585,S2-16D_V2_002011_20260728,B8A
RAW_SemComp,0,256,220.51,0.0,0.0,1.886,S2-16D_V2_001014_20260728,B01
COG_LZW_P1_B128,1,128,26.03,88.2,9.71,0.779,S2-16D_V2_001014_20260728,B01
COG_LZW_P1_B256,1,256,25.29,88.53,4.215,1.711,S2-16D_V2_001014_20260728,B01
COG_LZW_P1_B512,1,512,25.59,88.4,5.185,2.825,S2-16D_V2_001014_20260728,B01
COG_LZW_P2_B128,2,128,17.31,92.15,4.482,2.278,S2-16D_V2_001014_20260728,B01
COG_LZW_P2_B256,2,256,15.99,92.75,7.009,2.517,S2-16D_V2_001014_20260728,B01
COG_LZW_P2_B512,2,512,15.48,92.98,5.999,4.202,S2-16D_V2_001014_20260728,B01
