Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
LZW_P2_B128,2,128,2.35,97.87,2.76,1.225,S2-16D_V2_002011_20260728,SCL
LZW_P2_B256,2,256,1.53,98.61,2.106,1.367,S2-16D_V2_002011_20260728,SCL
LZW_P2_B512,2,512,1.1,99.0,4.738,0.339,S2-16D_V2_002011_20260728,SCL
RAW_SemComp,0,256,220.51,0.0,0.0,2.788,S2-16D_V2_002012_20260728,B8A
LZW_P1_B128,1,128,170.3,22.77,11.353,7.185,S2-16D_V2_002012_20260728,B8A
LZW_P1_B256,1,256,170.8,22.55,9.429,4.244,S2-16D_V2_002012_20260728,B8A
LZW_P1_B512,1,512,171.89,22.05,18.42,1.967,S2-16D_V2_002012_20260728,B8A
LZW_P2_B128,2,128,150.97,31.54,4.341,2.573,S2-16D_V2_002012_20260728,B8A
LZW_P2_B256,2,256,150.34,31.82,4.57,2.433,S2-16D_V2_002012_20260728,B8A
LZW_P2_B512,2,512,150.06,31.95,5.694,4.389,S2-16D_V2_002012_20260728,B8A
RAW_SemComp,0,256,220.51,0.0,0.0,2.893,S2-16D_V2_002011_20260728,B05
LZW_P1_B128,1,128,65.49,70.3,12.004,7.824,S2-16D_V2_002011_20260728,B05
LZW_P1_B256,1,256,65.61,70.25,2.946,0.687,S2-16D_V2_002011_20260728,B05
LZW_P1_B512,1,512,66.14,70.01,2.161,0.776,S2-16D_V2_002011_20260728,B05
LZW_P2_B128,2,128,55.31,74.92,2.619,1.362,S2-16D_V2_002011_20260728,B05
LZW_P2_B256,2,256,54.53,75.27,6.127,1.706,S2-16D_V2_002011_20260728,B05
LZW_P2_B512,2,512,54.27,75.39,6.822,2.159,S2-16D_V2_002011_20260728,B05
RAW_SemComp,0,256,220.51,0.0,0.0,1.565,S2-16D_V2_002012_20260728,EVI
LZW_P1_B128,1,128,182.86,17.08,15.143,5.226,S2-16D_V2_002012_20260728,EVI
LZW_P1_B256,1,256,183.32,16.87,20.284,8.972,S2-16D_V2_002012_20260728,EVI
LZW_P1_B512,1,512,184.32,16.41,7.574,2.247,S2-16D_V2_002012_20260728,EVI
LZW_P2_B128,2,128,162.16,26.46,6.184,2.249,S2-16D_V2_002012_20260728,EVI
LZW_P2_B256,2,256,160.91,27.03,8.025,2.189,S2-16D_V2_002012_20260728,EVI
LZW_P2_B512,2,512,160.58,27.18,6.615,2.846,S2-16D_V2_002012_20260728,EVI
RAW_SemComp,0,256,220.51,0.0,0.0,4.09,S2-16D_V2_002012_20260728,B07
LZW_P1_B128,1,128,168.49,23.59,16.167,5.533,S2-16D_V2_002012_20260728,B07
LZW_P1_B256,1,256,168.97,23.37,12.581,2.504,S2-16D_V2_002012_20260728,B07
LZW_P1_B512,1,512,170.02,22.9,8.226,1.722,S2-16D_V2_002012_20260728,B07
LZW_P2_B128,2,128,149.82,32.06,5.764,4.222,S2-16D_V2_002012_20260728,B07
LZW_P2_B256,2,256,149.18,32.35,6.271,2.437,S2-16D_V2_002012_20260728,B07
LZW_P2_B512,2,512,148.9,32.48,7.805,4.97,S2-16D_V2_002012_20260728,B07
RAW_SemComp,0,256,220.51,0.0,0.0,1.572,S2-16D_V2_002011_20260728,NBR
LZW_P1_B128,1,128,73.93,66.47,7.572,2.723,S2-16D_V2_002011_20260728,NBR
LZW_P1_B256,1,256,73.63,66.61,5.211,7.288,S2-16D_V2_002011_20260728,NBR
LZW_P1_B512,1,512,73.82,66.52,7.825,3.68,S2-16D_V2_002011_20260728,NBR
LZW_P2_B128,2,128,63.42,71.24,8.522,3.804,S2-16D_V2_002011_20260728,NBR
LZW_P2_B256,2,256,62.24,71.78,8.974,3.478,S2-16D_V2_002011_20260728,NBR
LZW_P2_B512,2,512,61.73,72.01,10.735,5.164,S2-16D_V2_002011_20260728,NBR
RAW_SemComp,0,256,220.51,0.0,0.0,0.517,S2-16D_V2_001014_20260728,B05
LZW_P1_B128,1,128,38.29,82.63,4.804,1.55,S2-16D_V2_001014_20260728,B05
LZW_P1_B256,1,256,37.7,82.9,6.501,1.969,S2-16D_V2_001014_20260728,B05
LZW_P1_B512,1,512,37.58,82.96,5.123,2.598,S2-16D_V2_001014_20260728,B05
LZW_P2_B128,2,128,35.8,83.76,7.415,4.606,S2-16D_V2_001014_20260728,B05
LZW_P2_B256,2,256,34.91,84.17,3.889,4.089,S2-16D_V2_001014_20260728,B05
LZW_P2_B512,2,512,34.57,84.32,5.614,3.385,S2-16D_V2_001014_20260728,B05
RAW_SemComp,0,256,220.51,0.0,0.0,0.376,S2-16D_V2_002012_20260728,B06
LZW_P1_B128,1,128,164.11,25.58,14.143,7.59,S2-16D_V2_002012_20260728,B06
LZW_P1_B256,1,256,164.64,25.34,19.827,2.904,S2-16D_V2_002012_20260728,B06
LZW_P1_B512,1,512,165.64,24.89,18.283,4.288,S2-16D_V2_002012_20260728,B06
LZW_P2_B128,2,128,147.0,33.34,4.805,1.386,S2-16D_V2_002012_20260728,B06
LZW_P2_B256,2,256,146.27,33.67,3.117,1.383,S2-16D_V2_002012_20260728,B06
LZW_P2_B512,2,512,146.02,33.78,5.025,1.978,S2-16D_V2_002012_20260728,B06
RAW_SemComp,0,256,220.51,0.0,0.0,2.88,S2-16D_V2_002011_20260728,B8A
LZW_P1_B128,1,128,75.53,65.75,12.399,3.827,S2-16D_V2_002011_20260728,B8A
LZW_P1_B256,1,256,75.75,65.65,7.978,0.998,S2-16D_V2_002011_20260728,B8A
LZW_P1_B512,1,512,76.35,65.38,4.411,5.969,S2-16D_V2_002011_20260728,B8A
LZW_P2_B128,2,128,62.55,71.63,2.301,1.348,S2-16D_V2_002011_20260728,B8A
LZW_P2_B256,2,256,61.8,71.97,4.337,1.026,S2-16D_V2_002011_20260728,B8A
LZW_P2_B512,2,512,61.49,72.12,5.907,3.724,S2-16D_V2_002011_20260728,B8A
RAW_SemComp,0,256,220.51,0.0,0.0,1.29,S2-16D_V2_001014_20260728,B01
LZW_P1_B128,1,128,18.21,91.74,3.802,2.593,S2-16D_V2_001014_20260728,B01
LZW_P1_B256,1,256,17.66,91.99,2.815,2.917,S2-16D_V2_001014_20260728,B01
LZW_P1_B512,1,512,17.84,91.91,3.086,1.084,S2-16D_V2_001014_20260728,B01
LZW_P2_B128,2,128,11.16,94.94,3.502,3.403,S2-16D_V2_001014_20260728,B01
LZW_P2_B256,2,256,10.21,95.37,4.297,2.026,S2-16D_V2_001014_20260728,B01
LZW_P2_B512,2,512,9.8,95.56,3.166,2.922,S2-16D_V2_001014_20260728,B01
