Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
LZW_P2_B512,2,512,59.8,72.88,4.481,1.878,S2-16D_V2_002011_20260728,B06
RAW_SemComp,0,256,220.51,0.0,0.0,0.446,S2-16D_V2_002012_20260728,B05
LZW_P1_B128,1,128,144.09,34.66,11.975,7.05,S2-16D_V2_002012_20260728,B05
LZW_P1_B256,1,256,144.87,34.3,13.091,4.062,S2-16D_V2_002012_20260728,B05
LZW_P1_B512,1,512,146.06,33.77,14.219,7.09,S2-16D_V2_002012_20260728,B05
LZW_P2_B128,2,128,129.1,41.45,23.488,2.402,S2-16D_V2_002012_20260728,B05
LZW_P2_B256,2,256,128.26,41.84,9.232,4.225,S2-16D_V2_002012_20260728,B05
LZW_P2_B512,2,512,128.04,41.93,6.558,2.206,S2-16D_V2_002012_20260728,B05
RAW_SemComp,0,256,220.51,0.0,0.0,2.81,S2-16D_V2_002012_20260728,NBR
LZW_P1_B128,1,128,164.53,25.39,12.592,7.927,S2-16D_V2_002012_20260728,NBR
LZW_P1_B256,1,256,164.83,25.25,19.998,7.35,S2-16D_V2_002012_20260728,NBR
LZW_P1_B512,1,512,165.58,24.91,5.425,3.224,S2-16D_V2_002012_20260728,NBR
LZW_P2_B128,2,128,147.83,32.96,6.336,1.329,S2-16D_V2_002012_20260728,NBR
LZW_P2_B256,2,256,147.08,33.3,2.899,1.299,S2-16D_V2_002012_20260728,NBR
LZW_P2_B512,2,512,146.83,33.41,2.886,1.328,S2-16D_V2_002012_20260728,NBR
RAW_SemComp,0,256,220.51,0.0,0.0,1.6,S2-16D_V2_001014_20260728,B11
LZW_P1_B128,1,128,40.82,81.49,2.347,0.606,S2-16D_V2_001014_20260728,B11
LZW_P1_B256,1,256,40.25,81.75,4.505,0.555,S2-16D_V2_001014_20260728,B11
LZW_P1_B512,1,512,40.15,81.79,1.906,0.625,S2-16D_V2_001014_20260728,B11
LZW_P2_B128,2,128,37.59,82.96,3.441,1.514,S2-16D_V2_001014_20260728,B11
LZW_P2_B256,2,256,36.73,83.34,4.528,3.498,S2-16D_V2_001014_20260728,B11
LZW_P2_B512,2,512,36.4,83.49,3.684,3.694,S2-16D_V2_001014_20260728,B11
RAW_SemComp,0,256,220.51,0.0,0.0,0.569,S2-16D_V2_001014_20260728,B09
LZW_P1_B128,1,128,40.6,81.59,1.883,1.005,S2-16D_V2_001014_20260728,B09
LZW_P1_B256,1,256,40.19,81.77,2.015,1.589,S2-16D_V2_001014_20260728,B09
LZW_P1_B512,1,512,40.28,81.73,2.137,2.661,S2-16D_V2_001014_20260728,B09
LZW_P2_B128,2,128,26.7,87.89,7.506,4.517,S2-16D_V2_001014_20260728,B09
LZW_P2_B256,2,256,25.75,88.32,4.669,3.238,S2-16D_V2_001014_20260728,B09
LZW_P2_B512,2,512,25.38,88.49,7.577,4.474,S2-16D_V2_001014_20260728,B09
RAW_SemComp,0,256,220.51,0.0,0.0,0.897,S2-16D_V2_002012_20260728,B01
LZW_P1_B128,1,128,77.57,64.82,9.622,4.704,S2-16D_V2_002012_20260728,B01
LZW_P1_B256,1,256,78.56,64.37,3.585,2.116,S2-16D_V2_002012_20260728,B01
LZW_P1_B512,1,512,81.12,63.21,5.497,3.591,S2-16D_V2_002012_20260728,B01
LZW_P2_B128,2,128,45.04,79.57,11.487,4.578,S2-16D_V2_002012_20260728,B01
LZW_P2_B256,2,256,43.95,80.07,10.509,5.519,S2-16D_V2_002012_20260728,B01
LZW_P2_B512,2,512,43.72,80.17,13.394,7.853,S2-16D_V2_002012_20260728,B01
RAW_SemComp,0,256,220.51,0.0,0.0,0.608,S2-16D_V2_002012_20260728,B04
LZW_P1_B128,1,128,128.71,41.63,9.278,6.009,S2-16D_V2_002012_20260728,B04
LZW_P1_B256,1,256,129.18,41.42,12.498,4.02,S2-16D_V2_002012_20260728,B04
LZW_P1_B512,1,512,130.02,41.04,7.329,3.139,S2-16D_V2_002012_20260728,B04
LZW_P2_B128,2,128,124.46,43.56,10.661,7.017,S2-16D_V2_002012_20260728,B04
LZW_P2_B256,2,256,124.02,43.76,12.91,4.112,S2-16D_V2_002012_20260728,B04
LZW_P2_B512,2,512,123.98,43.78,19.61,3.899,S2-16D_V2_002012_20260728,B04
RAW_SemComp,0,256,220.51,0.0,0.0,0.773,S2-16D_V2_001014_20260728,B03
LZW_P1_B128,1,128,37.63,82.93,1.954,1.307,S2-16D_V2_001014_20260728,B03
