Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
ZSTD_L15_P2,15,2,33.95,84.6,7.771,0.663,S2-16D_V2_002011_20260728,B09
RAW_SemComp,0,0,220.51,0.0,0.0,0.428,S2-16D_V2_002012_20260728,B08
ZSTD_L01_P2,1,2,139.47,36.75,2.237,0.992,S2-16D_V2_002012_20260728,B08
ZSTD_L03_P2,3,2,139.48,36.75,0.855,0.748,S2-16D_V2_002012_20260728,B08
ZSTD_L05_P2,5,2,139.47,36.75,2.269,3.181,S2-16D_V2_002012_20260728,B08
ZSTD_L07_P2,7,2,139.46,36.76,1.842,0.727,S2-16D_V2_002012_20260728,B08
ZSTD_L09_P2,9,2,139.46,36.76,1.131,0.667,S2-16D_V2_002012_20260728,B08
ZSTD_L11_P2,11,2,139.46,36.76,1.533,0.747,S2-16D_V2_002012_20260728,B08
ZSTD_L13_P2,13,2,139.37,36.8,11.461,0.767,S2-16D_V2_002012_20260728,B08
ZSTD_L15_P2,15,2,139.37,36.8,18.62,3.757,S2-16D_V2_002012_20260728,B08
RAW_SemComp,0,0,220.51,0.0,0.0,0.419,S2-16D_V2_002011_20260728,B06
ZSTD_L01_P2,1,2,52.06,76.39,0.41,0.562,S2-16D_V2_002011_20260728,B06
ZSTD_L03_P2,3,2,50.88,76.93,1.089,0.51,S2-16D_V2_002011_20260728,B06
ZSTD_L05_P2,5,2,50.16,77.26,1.586,0.634,S2-16D_V2_002011_20260728,B06
ZSTD_L07_P2,7,2,50.14,77.26,1.727,0.609,S2-16D_V2_002011_20260728,B06
ZSTD_L09_P2,9,2,50.14,77.26,2.158,0.632,S2-16D_V2_002011_20260728,B06
ZSTD_L11_P2,11,2,50.14,77.26,3.632,0.673,S2-16D_V2_002011_20260728,B06
ZSTD_L13_P2,13,2,50.07,77.29,6.597,0.648,S2-16D_V2_002011_20260728,B06
ZSTD_L15_P2,15,2,50.07,77.29,7.256,0.631,S2-16D_V2_002011_20260728,B06
RAW_SemComp,0,0,220.51,0.0,0.0,0.424,S2-16D_V2_002012_20260728,B05
ZSTD_L01_P2,1,2,118.03,46.47,0.705,0.756,S2-16D_V2_002012_20260728,B05
ZSTD_L03_P2,3,2,107.45,51.27,2.516,0.912,S2-16D_V2_002012_20260728,B05
ZSTD_L05_P2,5,2,106.67,51.63,3.575,0.919,S2-16D_V2_002012_20260728,B05
ZSTD_L07_P2,7,2,106.63,51.64,4.111,0.93,S2-16D_V2_002012_20260728,B05
ZSTD_L09_P2,9,2,106.57,51.67,5.5,0.944,S2-16D_V2_002012_20260728,B05
ZSTD_L11_P2,11,2,106.57,51.67,16.391,2.178,S2-16D_V2_002012_20260728,B05
ZSTD_L13_P2,13,2,106.57,51.67,21.808,0.884,S2-16D_V2_002012_20260728,B05
ZSTD_L15_P2,15,2,106.57,51.67,19.845,4.304,S2-16D_V2_002012_20260728,B05
RAW_SemComp,0,0,220.51,0.0,0.0,0.936,S2-16D_V2_002012_20260728,NBR
ZSTD_L01_P2,1,2,129.51,41.27,2.881,3.572,S2-16D_V2_002012_20260728,NBR
ZSTD_L03_P2,3,2,125.75,42.97,3.754,0.922,S2-16D_V2_002012_20260728,NBR
ZSTD_L05_P2,5,2,123.84,43.84,7.994,0.77,S2-16D_V2_002012_20260728,NBR
ZSTD_L07_P2,7,2,123.83,43.84,4.007,0.854,S2-16D_V2_002012_20260728,NBR
ZSTD_L09_P2,9,2,123.82,43.85,5.041,0.867,S2-16D_V2_002012_20260728,NBR
ZSTD_L11_P2,11,2,123.82,43.85,8.576,0.831,S2-16D_V2_002012_20260728,NBR
ZSTD_L13_P2,13,2,123.66,43.92,23.081,1.112,S2-16D_V2_002012_20260728,NBR
ZSTD_L15_P2,15,2,123.66,43.92,22.995,0.853,S2-16D_V2_002012_20260728,NBR
RAW_SemComp,0,0,220.51,0.0,0.0,1.486,S2-16D_V2_001014_20260728,B11
ZSTD_L01_P2,1,2,32.71,85.17,0.414,1.537,S2-16D_V2_001014_20260728,B11
ZSTD_L03_P2,3,2,30.44,86.2,1.547,1.593,S2-16D_V2_001014_20260728,B11
ZSTD_L05_P2,5,2,30.1,86.35,1.153,0.54,S2-16D_V2_001014_20260728,B11
ZSTD_L07_P2,7,2,30.09,86.35,1.408,0.634,S2-16D_V2_001014_20260728,B11
ZSTD_L09_P2,9,2,30.08,86.36,1.869,0.642,S2-16D_V2_001014_20260728,B11
ZSTD_L11_P2,11,2,30.08,86.36,2.893,0.583,S2-16D_V2_001014_20260728,B11
ZSTD_L13_P2,13,2,30.08,86.36,6.608,2.611,S2-16D_V2_001014_20260728,B11
ZSTD_L15_P2,15,2,30.08,86.36,11.562,0.641,S2-16D_V2_001014_20260728,B11
RAW_SemComp,0,0,220.51,0.0,0.0,0.437,S2-16D_V2_001014_20260728,B09
ZSTD_L01_P2,1,2,22.95,89.59,0.613,0.625,S2-16D_V2_001014_20260728,B09
ZSTD_L03_P2,3,2,21.24,90.37,0.743,0.545,S2-16D_V2_001014_20260728,B09
ZSTD_L05_P2,5,2,21.03,90.46,1.152,0.652,S2-16D_V2_001014_20260728,B09
ZSTD_L07_P2,7,2,20.48,90.71,1.613,0.607,S2-16D_V2_001014_20260728,B09
ZSTD_L09_P2,9,2,20.24,90.82,2.206,0.565,S2-16D_V2_001014_20260728,B09
ZSTD_L11_P2,11,2,19.91,90.97,3.34,0.562,S2-16D_V2_001014_20260728,B09
ZSTD_L13_P2,13,2,19.85,91.0,10.142,1.053,S2-16D_V2_001014_20260728,B09
ZSTD_L15_P2,15,2,19.84,91.0,8.91,0.514,S2-16D_V2_001014_20260728,B09
RAW_SemComp,0,0,220.51,0.0,0.0,0.359,S2-16D_V2_002012_20260728,B01
ZSTD_L01_P2,1,2,46.4,78.96,1.019,0.778,S2-16D_V2_002012_20260728,B01
ZSTD_L03_P2,3,2,44.54,79.8,1.082,0.692,S2-16D_V2_002012_20260728,B01
ZSTD_L05_P2,5,2,41.76,81.06,2.418,0.806,S2-16D_V2_002012_20260728,B01
ZSTD_L07_P2,7,2,39.94,81.89,4.23,0.737,S2-16D_V2_002012_20260728,B01
ZSTD_L09_P2,9,2,39.68,82.01,11.64,0.708,S2-16D_V2_002012_20260728,B01
ZSTD_L11_P2,11,2,38.6,82.49,10.777,0.752,S2-16D_V2_002012_20260728,B01
ZSTD_L13_P2,13,2,38.44,82.57,27.087,0.697,S2-16D_V2_002012_20260728,B01
ZSTD_L15_P2,15,2,37.6,82.95,36.991,0.724,S2-16D_V2_002012_20260728,B01
RAW_SemComp,0,0,220.51,0.0,0.0,0.878,S2-16D_V2_002012_20260728,B04
ZSTD_L01_P2,1,2,112.67,48.9,0.65,0.691,S2-16D_V2_002012_20260728,B04
ZSTD_L03_P2,3,2,103.83,52.92,7.247,0.823,S2-16D_V2_002012_20260728,B04
ZSTD_L05_P2,5,2,103.14,53.23,3.373,0.925,S2-16D_V2_002012_20260728,B04
ZSTD_L07_P2,7,2,103.13,53.23,4.069,0.918,S2-16D_V2_002012_20260728,B04
