Algoritmo,ZLevel,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
DEFLATE_L6_P2,6,2,0.87,99.21,0.511,0.272,S2-16D_V2_002012_20260728,SCL
DEFLATE_L7_P2,7,2,0.81,99.26,0.933,0.233,S2-16D_V2_002012_20260728,SCL
DEFLATE_L8_P2,8,2,0.79,99.28,1.027,0.272,S2-16D_V2_002012_20260728,SCL
DEFLATE_L9_P2,9,2,0.81,99.26,8.381,0.282,S2-16D_V2_002012_20260728,SCL
RAW_SemComp,0,0,220.51,0.0,0.0,0.37,S2-16D_V2_002012_20260728,B03
DEFLATE_L1_P2,1,2,115.35,47.69,2.533,1.153,S2-16D_V2_002012_20260728,B03
DEFLATE_L2_P2,2,2,117.91,46.53,2.979,1.088,S2-16D_V2_002012_20260728,B03
DEFLATE_L3_P2,3,2,117.92,46.52,3.065,1.123,S2-16D_V2_002012_20260728,B03
DEFLATE_L5_P2,5,2,117.61,46.66,4.07,1.111,S2-16D_V2_002012_20260728,B03
DEFLATE_L6_P2,6,2,117.61,46.66,4.038,1.086,S2-16D_V2_002012_20260728,B03
DEFLATE_L7_P2,7,2,117.61,46.66,4.559,1.051,S2-16D_V2_002012_20260728,B03
DEFLATE_L8_P2,8,2,117.61,46.66,4.61,1.084,S2-16D_V2_002012_20260728,B03
DEFLATE_L9_P2,9,2,115.16,47.77,12.48,1.118,S2-16D_V2_002012_20260728,B03
RAW_SemComp,0,0,220.51,0.0,0.0,0.402,S2-16D_V2_002011_20260728,B11
DEFLATE_L1_P2,1,2,47.43,78.49,1.511,0.789,S2-16D_V2_002011_20260728,B11
DEFLATE_L2_P2,2,2,48.17,78.15,1.744,0.785,S2-16D_V2_002011_20260728,B11
DEFLATE_L3_P2,3,2,48.18,78.15,1.841,0.861,S2-16D_V2_002011_20260728,B11
DEFLATE_L5_P2,5,2,48.21,78.14,2.116,0.796,S2-16D_V2_002011_20260728,B11
DEFLATE_L6_P2,6,2,48.21,78.14,2.143,0.789,S2-16D_V2_002011_20260728,B11
DEFLATE_L7_P2,7,2,48.17,78.15,2.401,0.772,S2-16D_V2_002011_20260728,B11
DEFLATE_L8_P2,8,2,48.17,78.15,2.413,0.809,S2-16D_V2_002011_20260728,B11
DEFLATE_L9_P2,9,2,47.12,78.63,8.771,0.84,S2-16D_V2_002011_20260728,B11
RAW_SemComp,0,0,220.51,0.0,0.0,0.424,S2-16D_V2_001014_20260728,B04
DEFLATE_L1_P2,1,2,28.6,87.03,1.259,0.75,S2-16D_V2_001014_20260728,B04
DEFLATE_L2_P2,2,2,28.93,86.88,1.499,0.741,S2-16D_V2_001014_20260728,B04
DEFLATE_L3_P2,3,2,28.93,86.88,1.487,0.661,S2-16D_V2_001014_20260728,B04
DEFLATE_L5_P2,5,2,29.04,86.83,1.735,0.707,S2-16D_V2_001014_20260728,B04
DEFLATE_L6_P2,6,2,29.04,86.83,1.671,0.708,S2-16D_V2_001014_20260728,B04
DEFLATE_L7_P2,7,2,29.04,86.83,2.122,0.69,S2-16D_V2_001014_20260728,B04
DEFLATE_L8_P2,8,2,29.04,86.83,2.039,0.694,S2-16D_V2_001014_20260728,B04
DEFLATE_L9_P2,9,2,28.33,87.15,8.374,0.728,S2-16D_V2_001014_20260728,B04
RAW_SemComp,0,0,220.51,0.0,0.0,0.404,S2-16D_V2_002011_20260728,B02
DEFLATE_L1_P2,1,2,44.85,79.66,1.381,0.766,S2-16D_V2_002011_20260728,B02
DEFLATE_L2_P2,2,2,45.46,79.38,1.729,0.816,S2-16D_V2_002011_20260728,B02
DEFLATE_L3_P2,3,2,45.46,79.38,1.879,0.809,S2-16D_V2_002011_20260728,B02
DEFLATE_L5_P2,5,2,45.59,79.33,2.267,0.764,S2-16D_V2_002011_20260728,B02
DEFLATE_L6_P2,6,2,45.59,79.33,2.221,0.798,S2-16D_V2_002011_20260728,B02
DEFLATE_L7_P2,7,2,45.54,79.35,2.725,0.754,S2-16D_V2_002011_20260728,B02
DEFLATE_L8_P2,8,2,45.54,79.35,2.661,0.75,S2-16D_V2_002011_20260728,B02
DEFLATE_L9_P2,9,2,44.32,79.9,9.232,0.795,S2-16D_V2_002011_20260728,B02
RAW_SemComp,0,0,220.51,0.0,0.0,0.36,S2-16D_V2_002012_20260728,B11
DEFLATE_L1_P2,1,2,113.07,48.72,2.368,1.126,S2-16D_V2_002012_20260728,B11
DEFLATE_L2_P2,2,2,114.46,48.09,3.081,1.114,S2-16D_V2_002012_20260728,B11
DEFLATE_L3_P2,3,2,114.47,48.09,3.187,1.07,S2-16D_V2_002012_20260728,B11
DEFLATE_L5_P2,5,2,115.0,47.85,4.08,1.159,S2-16D_V2_002012_20260728,B11
DEFLATE_L6_P2,6,2,115.0,47.85,4.153,1.053,S2-16D_V2_002012_20260728,B11
DEFLATE_L7_P2,7,2,114.98,47.86,4.865,1.119,S2-16D_V2_002012_20260728,B11
DEFLATE_L8_P2,8,2,114.98,47.86,4.815,1.022,S2-16D_V2_002012_20260728,B11
DEFLATE_L9_P2,9,2,112.08,49.18,13.052,1.095,S2-16D_V2_002012_20260728,B11
RAW_SemComp,0,0,220.51,0.0,0.0,0.365,S2-16D_V2_001014_20260728,EVI
DEFLATE_L1_P2,1,2,37.39,83.04,1.36,0.668,S2-16D_V2_001014_20260728,EVI
DEFLATE_L2_P2,2,2,38.25,82.65,1.64,0.674,S2-16D_V2_001014_20260728,EVI
DEFLATE_L3_P2,3,2,38.25,82.65,1.566,0.685,S2-16D_V2_001014_20260728,EVI
DEFLATE_L5_P2,5,2,38.48,82.55,1.695,0.716,S2-16D_V2_001014_20260728,EVI
DEFLATE_L6_P2,6,2,38.48,82.55,1.675,0.683,S2-16D_V2_001014_20260728,EVI
DEFLATE_L7_P2,7,2,38.47,82.56,2.106,0.689,S2-16D_V2_001014_20260728,EVI
DEFLATE_L8_P2,8,2,38.24,82.66,2.172,0.681,S2-16D_V2_001014_20260728,EVI
DEFLATE_L9_P2,9,2,37.51,82.99,10.612,0.681,S2-16D_V2_001014_20260728,EVI
RAW_SemComp,0,0,220.51,0.0,0.0,0.376,S2-16D_V2_002012_20260728,B09
DEFLATE_L1_P2,1,2,83.22,62.26,1.904,1.007,S2-16D_V2_002012_20260728,B09
DEFLATE_L2_P2,2,2,80.18,63.64,2.663,0.885,S2-16D_V2_002012_20260728,B09
DEFLATE_L3_P2,3,2,78.8,64.27,3.023,0.931,S2-16D_V2_002012_20260728,B09
DEFLATE_L5_P2,5,2,78.36,64.47,4.035,0.945,S2-16D_V2_002012_20260728,B09
DEFLATE_L6_P2,6,2,76.41,65.35,7.255,0.96,S2-16D_V2_002012_20260728,B09
DEFLATE_L7_P2,7,2,75.46,65.78,9.978,0.965,S2-16D_V2_002012_20260728,B09
DEFLATE_L8_P2,8,2,75.45,65.78,10.152,0.941,S2-16D_V2_002012_20260728,B09
DEFLATE_L9_P2,9,2,72.29,67.22,26.416,0.96,S2-16D_V2_002012_20260728,B09
RAW_SemComp,0,0,220.51,0.0,0.0,0.414,S2-16D_V2_001014_20260728,B08
DEFLATE_L1_P2,1,2,37.86,82.83,1.302,0.707,S2-16D_V2_001014_20260728,B08
DEFLATE_L2_P2,2,2,38.64,82.48,1.622,0.702,S2-16D_V2_001014_20260728,B08
DEFLATE_L3_P2,3,2,38.64,82.48,1.617,0.695,S2-16D_V2_001014_20260728,B08
DEFLATE_L5_P2,5,2,38.88,82.37,1.595,0.719,S2-16D_V2_001014_20260728,B08
DEFLATE_L6_P2,6,2,38.88,82.37,1.709,0.805,S2-16D_V2_001014_20260728,B08
DEFLATE_L7_P2,7,2,38.87,82.37,1.944,0.782,S2-16D_V2_001014_20260728,B08
DEFLATE_L8_P2,8,2,38.87,82.37,1.964,0.781,S2-16D_V2_001014_20260728,B08
DEFLATE_L9_P2,9,2,37.94,82.8,7.404,0.733,S2-16D_V2_001014_20260728,B08
RAW_SemComp,0,0,220.51,0.0,0.0,0.347,S2-16D_V2_002012_20260728,NDVI
DEFLATE_L1_P2,1,2,133.17,39.61,2.77,1.112,S2-16D_V2_002012_20260728,NDVI
DEFLATE_L2_P2,2,2,137.17,37.8,3.492,1.21,S2-16D_V2_002012_20260728,NDVI
DEFLATE_L3_P2,3,2,137.17,37.8,3.369,1.177,S2-16D_V2_002012_20260728,NDVI
DEFLATE_L5_P2,5,2,137.78,37.52,3.92,1.203,S2-16D_V2_002012_20260728,NDVI
DEFLATE_L6_P2,6,2,137.78,37.52,3.822,1.076,S2-16D_V2_002012_20260728,NDVI
DEFLATE_L7_P2,7,2,137.73,37.54,4.335,1.138,S2-16D_V2_002012_20260728,NDVI
DEFLATE_L8_P2,8,2,137.69,37.56,4.297,1.116,S2-16D_V2_002012_20260728,NDVI
DEFLATE_L9_P2,9,2,133.61,39.41,9.767,0.979,S2-16D_V2_002012_20260728,NDVI
RAW_SemComp,0,0,110.26,0.0,0.0,0.253,S2-16D_V2_002011_20260728,SCL
DEFLATE_L1_P2,1,2,0.88,99.2,0.505,0.332,S2-16D_V2_002011_20260728,SCL
DEFLATE_L2_P2,2,2,0.87,99.22,0.532,0.325,S2-16D_V2_002011_20260728,SCL
DEFLATE_L3_P2,3,2,0.85,99.23,0.507,0.284,S2-16D_V2_002011_20260728,SCL
DEFLATE_L5_P2,5,2,0.82,99.26,0.474,0.283,S2-16D_V2_002011_20260728,SCL
DEFLATE_L6_P2,6,2,0.8,99.28,0.578,0.329,S2-16D_V2_002011_20260728,SCL
DEFLATE_L7_P2,7,2,0.75,99.32,0.857,0.279,S2-16D_V2_002011_20260728,SCL
DEFLATE_L8_P2,8,2,0.72,99.35,1.043,0.34,S2-16D_V2_002011_20260728,SCL
DEFLATE_L9_P2,9,2,0.73,99.34,6.337,0.315,S2-16D_V2_002011_20260728,SCL
RAW_SemComp,0,0,220.51,0.0,0.0,0.377,S2-16D_V2_002012_20260728,B8A
DEFLATE_L1_P2,1,2,129.12,41.45,2.671,1.033,S2-16D_V2_002012_20260728,B8A
DEFLATE_L2_P2,2,2,132.73,39.81,3.046,1.089,S2-16D_V2_002012_20260728,B8A
DEFLATE_L3_P2,3,2,132.73,39.81,3.041,1.075,S2-16D_V2_002012_20260728,B8A
DEFLATE_L5_P2,5,2,132.94,39.71,3.573,1.061,S2-16D_V2_002012_20260728,B8A
DEFLATE_L6_P2,6,2,132.94,39.71,3.589,1.074,S2-16D_V2_002012_20260728,B8A
DEFLATE_L7_P2,7,2,132.86,39.75,4.026,1.105,S2-16D_V2_002012_20260728,B8A
DEFLATE_L8_P2,8,2,132.86,39.75,4.086,1.082,S2-16D_V2_002012_20260728,B8A
DEFLATE_L9_P2,9,2,130.22,40.95,9.64,1.076,S2-16D_V2_002012_20260728,B8A
RAW_SemComp,0,0,220.51,0.0,0.0,0.437,S2-16D_V2_002011_20260728,B05
DEFLATE_L1_P2,1,2,45.81,79.23,1.578,0.856,S2-16D_V2_002011_20260728,B05
DEFLATE_L2_P2,2,2,46.37,78.97,1.897,0.8,S2-16D_V2_002011_20260728,B05
DEFLATE_L3_P2,3,2,46.38,78.97,1.861,0.801,S2-16D_V2_002011_20260728,B05
DEFLATE_L5_P2,5,2,46.58,78.88,2.15,0.773,S2-16D_V2_002011_20260728,B05
DEFLATE_L6_P2,6,2,46.58,78.88,2.084,0.819,S2-16D_V2_002011_20260728,B05
DEFLATE_L7_P2,7,2,46.54,78.89,2.653,0.751,S2-16D_V2_002011_20260728,B05
DEFLATE_L8_P2,8,2,46.54,78.89,2.511,0.821,S2-16D_V2_002011_20260728,B05
DEFLATE_L9_P2,9,2,45.34,79.44,9.199,0.798,S2-16D_V2_002011_20260728,B05
RAW_SemComp,0,0,220.51,0.0,0.0,0.371,S2-16D_V2_002012_20260728,EVI
DEFLATE_L1_P2,1,2,136.35,38.17,2.599,0.999,S2-16D_V2_002012_20260728,EVI
DEFLATE_L2_P2,2,2,139.72,36.64,3.392,1.232,S2-16D_V2_002012_20260728,EVI
DEFLATE_L3_P2,3,2,139.72,36.64,3.459,1.173,S2-16D_V2_002012_20260728,EVI
DEFLATE_L5_P2,5,2,140.58,36.25,3.743,1.122,S2-16D_V2_002012_20260728,EVI
DEFLATE_L6_P2,6,2,140.58,36.25,3.787,1.183,S2-16D_V2_002012_20260728,EVI
DEFLATE_L7_P2,7,2,140.52,36.28,4.251,1.13,S2-16D_V2_002012_20260728,EVI
DEFLATE_L8_P2,8,2,140.49,36.29,4.201,1.117,S2-16D_V2_002012_20260728,EVI
DEFLATE_L9_P2,9,2,136.74,37.99,9.948,1.085,S2-16D_V2_002012_20260728,EVI
RAW_SemComp,0,0,220.51,0.0,0.0,0.381,S2-16D_V2_002012_20260728,B07
DEFLATE_L1_P2,1,2,128.29,41.82,2.755,1.127,S2-16D_V2_002012_20260728,B07
DEFLATE_L2_P2,2,2,131.89,40.19,3.315,1.188,S2-16D_V2_002012_20260728,B07
DEFLATE_L3_P2,3,2,131.9,40.19,3.354,1.155,S2-16D_V2_002012_20260728,B07
DEFLATE_L5_P2,5,2,132.05,40.12,3.876,1.102,S2-16D_V2_002012_20260728,B07
DEFLATE_L6_P2,6,2,132.05,40.12,3.793,1.104,S2-16D_V2_002012_20260728,B07
DEFLATE_L7_P2,7,2,131.95,40.16,4.169,1.035,S2-16D_V2_002012_20260728,B07
DEFLATE_L8_P2,8,2,131.95,40.16,4.188,1.112,S2-16D_V2_002012_20260728,B07
DEFLATE_L9_P2,9,2,129.39,41.32,10.259,1.125,S2-16D_V2_002012_20260728,B07
RAW_SemComp,0,0,220.51,0.0,0.0,0.365,S2-16D_V2_002011_20260728,NBR
DEFLATE_L1_P2,1,2,52.55,76.17,1.624,0.774,S2-16D_V2_002011_20260728,NBR
DEFLATE_L2_P2,2,2,53.84,75.58,1.868,0.765,S2-16D_V2_002011_20260728,NBR
DEFLATE_L3_P2,3,2,53.84,75.58,1.77,0.73,S2-16D_V2_002011_20260728,NBR
DEFLATE_L5_P2,5,2,53.82,75.59,1.931,0.733,S2-16D_V2_002011_20260728,NBR
DEFLATE_L6_P2,6,2,53.82,75.59,1.927,0.769,S2-16D_V2_002011_20260728,NBR
DEFLATE_L7_P2,7,2,53.78,75.61,2.593,0.791,S2-16D_V2_002011_20260728,NBR
DEFLATE_L8_P2,8,2,53.58,75.7,2.628,0.723,S2-16D_V2_002011_20260728,NBR
DEFLATE_L9_P2,9,2,52.82,76.05,10.462,0.776,S2-16D_V2_002011_20260728,NBR
RAW_SemComp,0,0,220.51,0.0,0.0,0.425,S2-16D_V2_001014_20260728,B05
DEFLATE_L1_P2,1,2,29.26,86.73,1.291,0.75,S2-16D_V2_001014_20260728,B05
DEFLATE_L2_P2,2,2,29.52,86.61,1.497,0.676,S2-16D_V2_001014_20260728,B05
DEFLATE_L3_P2,3,2,29.52,86.61,1.515,0.709,S2-16D_V2_001014_20260728,B05
DEFLATE_L5_P2,5,2,29.73,86.52,1.634,0.689,S2-16D_V2_001014_20260728,B05
DEFLATE_L6_P2,6,2,29.73,86.52,1.649,0.68,S2-16D_V2_001014_20260728,B05
DEFLATE_L7_P2,7,2,29.73,86.52,2.096,0.74,S2-16D_V2_001014_20260728,B05
DEFLATE_L8_P2,8,2,29.73,86.52,2.09,0.74,S2-16D_V2_001014_20260728,B05
DEFLATE_L9_P2,9,2,28.94,86.88,8.041,0.677,S2-16D_V2_001014_20260728,B05
RAW_SemComp,0,0,220.51,0.0,0.0,0.376,S2-16D_V2_002012_20260728,B06
DEFLATE_L1_P2,1,2,126.05,42.84,2.594,1.081,S2-16D_V2_002012_20260728,B06
DEFLATE_L2_P2,2,2,129.43,41.31,3.073,1.118,S2-16D_V2_002012_20260728,B06
DEFLATE_L3_P2,3,2,129.44,41.3,3.156,1.052,S2-16D_V2_002012_20260728,B06
DEFLATE_L5_P2,5,2,129.44,41.3,3.682,1.039,S2-16D_V2_002012_20260728,B06
DEFLATE_L6_P2,6,2,129.44,41.3,3.713,1.087,S2-16D_V2_002012_20260728,B06
DEFLATE_L7_P2,7,2,129.36,41.34,4.418,1.088,S2-16D_V2_002012_20260728,B06
DEFLATE_L8_P2,8,2,129.36,41.34,4.224,1.095,S2-16D_V2_002012_20260728,B06
DEFLATE_L9_P2,9,2,127.18,42.32,10.047,1.083,S2-16D_V2_002012_20260728,B06
RAW_SemComp,0,0,220.51,0.0,0.0,0.417,S2-16D_V2_002011_20260728,B8A
DEFLATE_L1_P2,1,2,52.38,76.25,1.532,0.759,S2-16D_V2_002011_20260728,B8A
DEFLATE_L2_P2,2,2,53.76,75.62,1.828,0.814,S2-16D_V2_002011_20260728,B8A
DEFLATE_L3_P2,3,2,53.76,75.62,1.852,0.848,S2-16D_V2_002011_20260728,B8A
DEFLATE_L5_P2,5,2,53.82,75.59,1.974,0.832,S2-16D_V2_002011_20260728,B8A
DEFLATE_L6_P2,6,2,53.82,75.59,2.011,0.834,S2-16D_V2_002011_20260728,B8A
DEFLATE_L7_P2,7,2,53.79,75.61,2.292,0.792,S2-16D_V2_002011_20260728,B8A
DEFLATE_L8_P2,8,2,53.79,75.61,2.264,0.793,S2-16D_V2_002011_20260728,B8A
DEFLATE_L9_P2,9,2,52.86,76.03,7.573,0.823,S2-16D_V2_002011_20260728,B8A
RAW_SemComp,0,0,220.51,0.0,0.0,0.433,S2-16D_V2_001014_20260728,B01
DEFLATE_L1_P2,1,2,10.92,95.05,1.044,0.7,S2-16D_V2_001014_20260728,B01
DEFLATE_L2_P2,2,2,10.41,95.28,1.227,0.626,S2-16D_V2_001014_20260728,B01
DEFLATE_L3_P2,3,2,9.89,95.51,1.355,0.697,S2-16D_V2_001014_20260728,B01
DEFLATE_L5_P2,5,2,9.66,95.62,1.483,0.635,S2-16D_V2_001014_20260728,B01
DEFLATE_L6_P2,6,2,9.03,95.91,2.585,0.688,S2-16D_V2_001014_20260728,B01
DEFLATE_L7_P2,7,2,8.82,96.0,5.778,0.654,S2-16D_V2_001014_20260728,B01
DEFLATE_L8_P2,8,2,8.7,96.05,9.642,0.682,S2-16D_V2_001014_20260728,B01
DEFLATE_L9_P2,9,2,7.85,96.44,20.403,0.686,S2-16D_V2_001014_20260728,B01
