Algoritmo,ZLevel,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
DEFLATE_L8_P2,8,2,34.66,84.28,3.569,0.716,S2-16D_V2_002011_20260728,B09
DEFLATE_L9_P2,9,2,33.24,84.93,12.825,0.79,S2-16D_V2_002011_20260728,B09
RAW_SemComp,0,0,220.51,0.0,0.0,0.361,S2-16D_V2_002012_20260728,B08
DEFLATE_L1_P2,1,2,139.54,36.72,2.703,1.074,S2-16D_V2_002012_20260728,B08
DEFLATE_L2_P2,2,2,142.97,35.16,3.804,1.285,S2-16D_V2_002012_20260728,B08
DEFLATE_L3_P2,3,2,142.97,35.16,3.682,1.215,S2-16D_V2_002012_20260728,B08
DEFLATE_L5_P2,5,2,143.67,34.85,3.904,1.237,S2-16D_V2_002012_20260728,B08
DEFLATE_L6_P2,6,2,143.67,34.85,4.02,1.252,S2-16D_V2_002012_20260728,B08
DEFLATE_L7_P2,7,2,143.64,34.86,4.45,1.243,S2-16D_V2_002012_20260728,B08
DEFLATE_L8_P2,8,2,143.64,34.86,4.316,1.173,S2-16D_V2_002012_20260728,B08
DEFLATE_L9_P2,9,2,139.61,36.69,9.193,1.038,S2-16D_V2_002012_20260728,B08
RAW_SemComp,0,0,220.51,0.0,0.0,0.404,S2-16D_V2_002011_20260728,B06
DEFLATE_L1_P2,1,2,51.17,76.8,1.55,0.761,S2-16D_V2_002011_20260728,B06
DEFLATE_L2_P2,2,2,52.51,76.19,1.721,0.776,S2-16D_V2_002011_20260728,B06
DEFLATE_L3_P2,3,2,52.52,76.18,1.931,0.868,S2-16D_V2_002011_20260728,B06
DEFLATE_L5_P2,5,2,52.52,76.18,2.09,0.763,S2-16D_V2_002011_20260728,B06
DEFLATE_L6_P2,6,2,52.52,76.18,1.946,0.816,S2-16D_V2_002011_20260728,B06
DEFLATE_L7_P2,7,2,52.48,76.2,2.338,0.759,S2-16D_V2_002011_20260728,B06
DEFLATE_L8_P2,8,2,52.48,76.2,2.258,0.809,S2-16D_V2_002011_20260728,B06
DEFLATE_L9_P2,9,2,51.59,76.61,7.807,0.813,S2-16D_V2_002011_20260728,B06
RAW_SemComp,0,0,220.51,0.0,0.0,0.383,S2-16D_V2_002012_20260728,B05
DEFLATE_L1_P2,1,2,108.62,50.74,2.36,1.137,S2-16D_V2_002012_20260728,B05
DEFLATE_L2_P2,2,2,109.39,50.39,3.176,1.079,S2-16D_V2_002012_20260728,B05
DEFLATE_L3_P2,3,2,109.43,50.37,3.325,1.091,S2-16D_V2_002012_20260728,B05
