Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
COG_DEFLATE_L5_P2,5,2,52.39,76.24,6.527,1.511,S2-16D_V2_002011_20260728,B09
COG_DEFLATE_L6_P2,6,2,51.85,76.49,8.268,1.227,S2-16D_V2_002011_20260728,B09
COG_DEFLATE_L7_P2,7,2,51.5,76.64,5.855,3.1,S2-16D_V2_002011_20260728,B09
COG_DEFLATE_L8_P2,8,2,51.5,76.65,6.73,2.503,S2-16D_V2_002011_20260728,B09
COG_DEFLATE_L9_P2,9,2,49.63,77.49,8.976,2.705,S2-16D_V2_002011_20260728,B09
RAW_SemComp,0,0,220.51,0.0,0.0,1.423,S2-16D_V2_002012_20260728,B08
COG_DEFLATE_L1_P2,1,2,186.05,15.63,5.715,1.13,S2-16D_V2_002012_20260728,B08
COG_DEFLATE_L2_P2,2,2,190.59,13.57,3.063,2.022,S2-16D_V2_002012_20260728,B08
COG_DEFLATE_L3_P2,3,2,190.59,13.57,4.07,1.797,S2-16D_V2_002012_20260728,B08
COG_DEFLATE_L5_P2,5,2,191.5,13.16,5.187,2.908,S2-16D_V2_002012_20260728,B08
COG_DEFLATE_L6_P2,6,2,191.5,13.16,6.966,3.08,S2-16D_V2_002012_20260728,B08
COG_DEFLATE_L7_P2,7,2,191.47,13.17,6.743,4.098,S2-16D_V2_002012_20260728,B08
COG_DEFLATE_L8_P2,8,2,191.47,13.17,9.788,5.092,S2-16D_V2_002012_20260728,B08
COG_DEFLATE_L9_P2,9,2,186.38,15.48,10.033,1.666,S2-16D_V2_002012_20260728,B08
RAW_SemComp,0,0,220.51,0.0,0.0,0.503,S2-16D_V2_002011_20260728,B06
COG_DEFLATE_L1_P2,1,2,69.33,68.56,3.894,0.858,S2-16D_V2_002011_20260728,B06
COG_DEFLATE_L2_P2,2,2,71.23,67.7,3.587,1.201,S2-16D_V2_002011_20260728,B06
COG_DEFLATE_L3_P2,3,2,71.24,67.69,4.338,1.413,S2-16D_V2_002011_20260728,B06
COG_DEFLATE_L5_P2,5,2,71.36,67.64,2.094,1.377,S2-16D_V2_002011_20260728,B06
COG_DEFLATE_L6_P2,6,2,71.36,67.64,2.721,1.344,S2-16D_V2_002011_20260728,B06
COG_DEFLATE_L7_P2,7,2,71.32,67.66,3.327,2.083,S2-16D_V2_002011_20260728,B06
COG_DEFLATE_L8_P2,8,2,71.32,67.66,5.716,1.603,S2-16D_V2_002011_20260728,B06
COG_DEFLATE_L9_P2,9,2,69.86,68.32,11.393,1.684,S2-16D_V2_002011_20260728,B06
RAW_SemComp,0,0,220.51,0.0,0.0,0.46,S2-16D_V2_002012_20260728,B05
COG_DEFLATE_L1_P2,1,2,147.33,33.19,3.235,2.998,S2-16D_V2_002012_20260728,B05
COG_DEFLATE_L2_P2,2,2,148.86,32.49,5.505,3.097,S2-16D_V2_002012_20260728,B05
COG_DEFLATE_L3_P2,3,2,148.87,32.49,6.214,3.044,S2-16D_V2_002012_20260728,B05
COG_DEFLATE_L5_P2,5,2,150.03,31.96,7.818,3.006,S2-16D_V2_002012_20260728,B05
COG_DEFLATE_L6_P2,6,2,150.03,31.96,8.517,2.798,S2-16D_V2_002012_20260728,B05
COG_DEFLATE_L7_P2,7,2,150.06,31.95,11.293,3.833,S2-16D_V2_002012_20260728,B05
COG_DEFLATE_L8_P2,8,2,150.06,31.95,11.841,1.445,S2-16D_V2_002012_20260728,B05
COG_DEFLATE_L9_P2,9,2,146.14,33.73,13.466,3.904,S2-16D_V2_002012_20260728,B05
RAW_SemComp,0,0,220.51,0.0,0.0,0.453,S2-16D_V2_002012_20260728,NBR
COG_DEFLATE_L1_P2,1,2,170.14,22.85,5.155,4.004,S2-16D_V2_002012_20260728,NBR
COG_DEFLATE_L2_P2,2,2,174.79,20.74,11.185,6.077,S2-16D_V2_002012_20260728,NBR
COG_DEFLATE_L3_P2,3,2,174.79,20.74,4.618,3.17,S2-16D_V2_002012_20260728,NBR
COG_DEFLATE_L5_P2,5,2,174.91,20.68,8.542,4.287,S2-16D_V2_002012_20260728,NBR
COG_DEFLATE_L6_P2,6,2,174.91,20.68,11.023,5.261,S2-16D_V2_002012_20260728,NBR
COG_DEFLATE_L7_P2,7,2,174.84,20.71,8.14,1.016,S2-16D_V2_002012_20260728,NBR
COG_DEFLATE_L8_P2,8,2,174.84,20.71,3.446,1.08,S2-16D_V2_002012_20260728,NBR
COG_DEFLATE_L9_P2,9,2,171.1,22.41,6.968,1.211,S2-16D_V2_002012_20260728,NBR
RAW_SemComp,0,0,220.51,0.0,0.0,0.507,S2-16D_V2_001014_20260728,B11
COG_DEFLATE_L1_P2,1,2,42.06,80.93,1.444,1.403,S2-16D_V2_001014_20260728,B11
COG_DEFLATE_L2_P2,2,2,42.94,80.53,4.302,1.047,S2-16D_V2_001014_20260728,B11
COG_DEFLATE_L3_P2,3,2,42.94,80.53,5.013,2.141,S2-16D_V2_001014_20260728,B11
COG_DEFLATE_L5_P2,5,2,43.03,80.49,3.066,3.124,S2-16D_V2_001014_20260728,B11
COG_DEFLATE_L6_P2,6,2,43.03,80.49,3.787,2.067,S2-16D_V2_001014_20260728,B11
COG_DEFLATE_L7_P2,7,2,43.03,80.48,5.717,1.628,S2-16D_V2_001014_20260728,B11
COG_DEFLATE_L8_P2,8,2,43.03,80.48,6.185,2.693,S2-16D_V2_001014_20260728,B11
COG_DEFLATE_L9_P2,9,2,41.91,80.99,9.972,2.426,S2-16D_V2_001014_20260728,B11
RAW_SemComp,0,0,220.51,0.0,0.0,0.691,S2-16D_V2_001014_20260728,B09
COG_DEFLATE_L1_P2,1,2,32.66,85.19,4.306,0.987,S2-16D_V2_001014_20260728,B09
COG_DEFLATE_L2_P2,2,2,32.02,85.48,4.605,0.88,S2-16D_V2_001014_20260728,B09
COG_DEFLATE_L3_P2,3,2,31.59,85.68,5.516,0.78,S2-16D_V2_001014_20260728,B09
COG_DEFLATE_L5_P2,5,2,31.41,85.76,5.424,1.679,S2-16D_V2_001014_20260728,B09
COG_DEFLATE_L6_P2,6,2,30.88,86.0,4.891,2.35,S2-16D_V2_001014_20260728,B09
COG_DEFLATE_L7_P2,7,2,30.61,86.12,5.988,2.697,S2-16D_V2_001014_20260728,B09
COG_DEFLATE_L8_P2,8,2,30.61,86.12,5.597,2.425,S2-16D_V2_001014_20260728,B09
COG_DEFLATE_L9_P2,9,2,29.44,86.65,14.843,3.234,S2-16D_V2_001014_20260728,B09
RAW_SemComp,0,0,220.51,0.0,0.0,1.172,S2-16D_V2_002012_20260728,B01
COG_DEFLATE_L1_P2,1,2,70.74,67.92,6.796,3.534,S2-16D_V2_002012_20260728,B01
COG_DEFLATE_L2_P2,2,2,67.63,69.33,7.814,1.015,S2-16D_V2_002012_20260728,B01
COG_DEFLATE_L3_P2,3,2,65.39,70.35,9.405,3.689,S2-16D_V2_002012_20260728,B01
COG_DEFLATE_L5_P2,5,2,64.74,70.64,8.416,4.189,S2-16D_V2_002012_20260728,B01
COG_DEFLATE_L6_P2,6,2,61.18,72.26,11.815,0.862,S2-16D_V2_002012_20260728,B01
COG_DEFLATE_L7_P2,7,2,59.95,72.81,14.451,0.789,S2-16D_V2_002012_20260728,B01
COG_DEFLATE_L8_P2,8,2,59.41,73.06,21.599,1.124,S2-16D_V2_002012_20260728,B01
COG_DEFLATE_L9_P2,9,2,54.93,75.09,35.287,0.794,S2-16D_V2_002012_20260728,B01
RAW_SemComp,0,0,220.51,0.0,0.0,0.46,S2-16D_V2_002012_20260728,B04
COG_DEFLATE_L1_P2,1,2,140.43,36.32,3.022,1.146,S2-16D_V2_002012_20260728,B04
COG_DEFLATE_L2_P2,2,2,141.35,35.9,3.24,1.11,S2-16D_V2_002012_20260728,B04
COG_DEFLATE_L3_P2,3,2,141.29,35.92,8.424,1.667,S2-16D_V2_002012_20260728,B04
COG_DEFLATE_L5_P2,5,2,142.43,35.41,8.676,2.662,S2-16D_V2_002012_20260728,B04
COG_DEFLATE_L6_P2,6,2,142.43,35.41,8.505,2.811,S2-16D_V2_002012_20260728,B04
COG_DEFLATE_L7_P2,7,2,142.37,35.44,9.801,4.082,S2-16D_V2_002012_20260728,B04
COG_DEFLATE_L8_P2,8,2,142.37,35.44,7.413,5.087,S2-16D_V2_002012_20260728,B04
COG_DEFLATE_L9_P2,9,2,138.6,37.15,18.421,4.899,S2-16D_V2_002012_20260728,B04
RAW_SemComp,0,0,220.51,0.0,0.0,1.479,S2-16D_V2_001014_20260728,B03
COG_DEFLATE_L1_P2,1,2,41.5,81.18,4.505,3.266,S2-16D_V2_001014_20260728,B03
COG_DEFLATE_L2_P2,2,2,42.49,80.73,6.253,3.099,S2-16D_V2_001014_20260728,B03
COG_DEFLATE_L3_P2,3,2,42.49,80.73,2.493,1.12,S2-16D_V2_001014_20260728,B03
COG_DEFLATE_L5_P2,5,2,42.38,80.78,2.888,0.864,S2-16D_V2_001014_20260728,B03
COG_DEFLATE_L6_P2,6,2,42.38,80.78,2.81,1.12,S2-16D_V2_001014_20260728,B03
COG_DEFLATE_L7_P2,7,2,42.39,80.78,2.615,1.774,S2-16D_V2_001014_20260728,B03
COG_DEFLATE_L8_P2,8,2,42.39,80.78,3.125,1.558,S2-16D_V2_001014_20260728,B03
COG_DEFLATE_L9_P2,9,2,41.42,81.22,6.35,1.034,S2-16D_V2_001014_20260728,B03
RAW_SemComp,0,0,220.51,0.0,0.0,0.483,S2-16D_V2_002011_20260728,B01
COG_DEFLATE_L1_P2,1,2,39.19,82.23,2.682,1.049,S2-16D_V2_002011_20260728,B01
COG_DEFLATE_L2_P2,2,2,37.78,82.87,3.576,0.953,S2-16D_V2_002011_20260728,B01
COG_DEFLATE_L3_P2,3,2,37.0,83.22,6.848,1.297,S2-16D_V2_002011_20260728,B01
COG_DEFLATE_L5_P2,5,2,36.67,83.37,6.395,2.7,S2-16D_V2_002011_20260728,B01
COG_DEFLATE_L6_P2,6,2,35.36,83.97,5.912,2.899,S2-16D_V2_002011_20260728,B01
COG_DEFLATE_L7_P2,7,2,34.96,84.15,9.202,3.091,S2-16D_V2_002011_20260728,B01
COG_DEFLATE_L8_P2,8,2,34.87,84.19,9.483,3.005,S2-16D_V2_002011_20260728,B01
COG_DEFLATE_L9_P2,9,2,33.01,85.03,16.408,3.106,S2-16D_V2_002011_20260728,B01
